matrix,scheduling,I1_miss_percent,LLi_miss_percent,D1_miss_percent,LLd_miss_percent,LL_miss_percent
c-46,dynamic,0.0,0.0,5.532,0.008,0.15
c-46,guided,0.003,0.0,5.534,0.008,0.149
c-46,static,0.003,0.0,5.534,0.008,0.149
epb1,dynamic,0.0,0.0,5.092,0.006,0.131
epb1,guided,0.016,0.0,5.094,0.006,0.129
epb1,static,0.0,0.0,5.094,0.006,0.131
fd12,dynamic,0.0,0.0,3.872,0.017,0.493
fd12,guided,0.023,0.0,3.877,0.018,0.486
fd12,static,0.001,0.0,3.875,0.018,0.498
human_gene2,dynamic,0.0,0.0,5.712,4.956,86.764
human_gene2,guided,0.0,0.0,5.712,4.956,86.765
human_gene2,static,0.001,0.0,5.712,5.062,88.545
sinc12,dynamic,0.0,0.0,4.227,0.011,0.257
sinc12,guided,0.025,0.0,4.228,0.011,0.251
sinc12,static,0.0,0.0,4.228,0.011,0.258
