# Execution with input file: c-46.mtx, NPROCS: 128, SELECTED MODE: 1D BLOCK PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.041008,1026,34748,234,6.359589,96.165657,11.23
0.045538,1026,34748,234,5.726960,67.612410,11.23
0.048637,1026,34748,234,5.362006,76.228619,11.23
0.044823,1026,34748,234,5.818347,71.156502,11.23
0.046730,1026,34748,234,5.580864,64.943314,11.23
0.040770,1026,34748,234,6.396780,69.176435,11.23
0.047684,1026,34748,234,5.469247,70.394039,11.23
0.044584,1026,34748,234,5.849462,66.663742,11.23
0.045300,1026,34748,234,5.757102,66.661358,11.23
0.046968,1026,34748,234,5.552535,66.905260,11.23
0.046492,1026,34748,234,5.609484,73.193073,11.23
0.046015,1026,34748,234,5.667613,219.190121,11.23
0.040531,1026,34748,234,6.434408,70.252895,11.23
0.046968,1026,34748,234,5.552535,64.221382,11.23
0.044584,1026,34748,234,5.849462,73.455334,11.23
0.046492,1026,34748,234,5.609484,244.616032,11.23
0.044346,1026,34748,234,5.880910,64.069986,11.23
0.047207,1026,34748,234,5.524492,68.706274,11.23
0.046730,1026,34748,234,5.580864,71.865082,11.23
0.045776,1026,34748,234,5.697132,67.692757,11.23
0.044584,1026,34748,234,5.849462,66.907406,11.23
0.046968,1026,34748,234,5.552535,91.833353,11.23
0.046015,1026,34748,234,5.667613,66.502810,11.23
0.046730,1026,34748,234,5.580864,73.526382,11.23
0.046968,1026,34748,234,5.552535,86.406708,11.23
0.045776,1026,34748,234,5.697132,67.471266,11.23
0.044823,1026,34748,234,5.818347,67.801237,11.23
0.044823,1026,34748,234,5.818347,66.046000,11.23
0.044346,1026,34748,234,5.880910,67.397356,11.23
0.044107,1026,34748,234,5.912699,65.265894,11.23
0.049353,1026,34748,234,5.284296,64.523220,11.23
0.045061,1026,34748,234,5.787563,66.943407,11.23
0.046015,1026,34748,234,5.667613,68.285942,11.25
0.046015,1026,34748,234,5.667613,68.755388,11.23
0.044346,1026,34748,234,5.880910,66.851854,11.23
0.045776,1026,34748,234,5.697132,66.069841,11.23
0.046492,1026,34748,234,5.609484,64.812660,11.23
0.044823,1026,34748,234,5.818347,77.203989,11.23
0.044823,1026,34748,234,5.818347,67.091465,11.23
0.044107,1026,34748,234,5.912699,65.498829,11.23
0.046730,1026,34748,234,5.580864,64.326763,11.23
0.045538,1026,34748,234,5.726960,65.841436,11.23
0.046253,1026,34748,234,5.638399,64.381361,11.23
0.044346,1026,34748,234,5.880910,64.867258,11.23
0.049353,1026,34748,234,5.284296,69.228172,11.23
0.046015,1026,34748,234,5.667613,98.585129,11.23
0.047684,1026,34748,234,5.469247,69.102526,11.23
0.051975,1026,34748,234,5.017657,70.741653,11.23
0.047207,1026,34748,234,5.524492,98.193169,11.23
0.045538,1026,34748,234,5.726960,65.531254,11.23
0.044346,1026,34748,234,5.880910,65.258741,11.23
0.050306,1026,34748,234,5.184120,71.926832,11.23
0.044346,1026,34748,234,5.880910,66.570759,11.23
0.046015,1026,34748,234,5.667613,66.717625,11.23
0.045538,1026,34748,234,5.726960,63.325405,11.23
0.045776,1026,34748,234,5.697132,64.526558,11.23
0.044584,1026,34748,234,5.849462,66.463709,11.23
0.044584,1026,34748,234,5.849462,67.476988,11.23
0.046730,1026,34748,234,5.580864,63.517094,11.23
0.045776,1026,34748,234,5.697132,68.970203,11.23
0.044346,1026,34748,234,5.880910,67.824364,11.24
0.046253,1026,34748,234,5.638399,276.499510,11.23
0.046015,1026,34748,234,5.667613,65.707684,11.23
0.046253,1026,34748,234,5.638399,157.155752,11.23
0.052929,1026,34748,234,4.927249,65.408945,11.23
0.045776,1026,34748,234,5.697132,67.057610,11.23
0.047922,1026,34748,234,5.442036,61.159611,11.23
0.045776,1026,34748,234,5.697132,66.868782,11.23
0.046015,1026,34748,234,5.667613,65.283537,11.23
0.046730,1026,34748,234,5.580864,136.535168,11.23
0.046730,1026,34748,234,5.580864,63.239336,11.23
0.048399,1026,34748,234,5.388420,66.735029,11.23
0.049353,1026,34748,234,5.284296,64.959049,11.23
0.045300,1026,34748,234,5.757102,68.284273,11.23
0.046730,1026,34748,234,5.580864,66.071749,11.23
0.045776,1026,34748,234,5.697132,63.915491,11.23
0.047445,1026,34748,234,5.496730,86.534023,11.23
0.044346,1026,34748,234,5.880910,65.561056,11.23
0.048637,1026,34748,234,5.362006,70.947409,11.23
0.046253,1026,34748,234,5.638399,66.804647,11.23
0.047684,1026,34748,234,5.469247,66.436052,11.23
0.046015,1026,34748,234,5.667613,66.969872,11.23
0.046492,1026,34748,234,5.609484,66.347837,11.23
0.045061,1026,34748,234,5.787563,70.697784,11.23
0.047684,1026,34748,234,5.469247,64.101696,11.23
0.049591,1026,34748,234,5.258891,342.147350,11.23
0.046730,1026,34748,234,5.580864,71.168661,11.23
0.045061,1026,34748,234,5.787563,68.873405,11.23
0.045061,1026,34748,234,5.787563,66.321135,11.23
0.046015,1026,34748,234,5.667613,66.612720,11.23
0.046015,1026,34748,234,5.667613,65.483570,11.23
0.047922,1026,34748,234,5.442036,67.829132,11.23
0.046015,1026,34748,234,5.667613,98.304033,11.23
0.046015,1026,34748,234,5.667613,96.030712,11.23
0.046492,1026,34748,234,5.609484,96.194506,11.23
0.044823,1026,34748,234,5.818347,69.099426,11.23
0.046015,1026,34748,234,5.667613,63.704252,11.23
0.048161,1026,34748,234,5.415096,64.945936,11.23
0.045776,1026,34748,234,5.697132,67.041874,11.23
0.044823,1026,34748,234,5.818347,76.035023,11.23
# End of Execution
