# Execution with input file: c-46.mtx, NPROCS: 8, SELECTED MODE: 1D BLOCK PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.060081,18628,53921,4262,4.340672,163.949251
0.051260,18628,53921,4262,5.087671,45.627356
0.052929,18628,53921,4262,4.927249,46.702147
0.051737,18628,53921,4262,5.040780,35.253525
0.055313,18628,53921,4262,4.714868,47.424316
0.053883,18628,53921,4262,4.840041,37.009239
0.055552,18628,53921,4262,4.694632,45.775890
0.053883,18628,53921,4262,4.840041,36.871910
0.054121,18628,53921,4262,4.818719,34.952879
0.057220,18628,53921,4262,4.557705,37.825108
0.054598,18628,53921,4262,4.776635,45.346975
0.054121,18628,53921,4262,4.818719,35.201311
0.054836,18628,53921,4262,4.755867,34.844160
0.051498,18628,53921,4262,5.064117,106.108665
0.053644,18628,53921,4262,4.861553,36.910295
0.051260,18628,53921,4262,5.087671,34.837008
0.054598,18628,53921,4262,4.776635,35.752296
0.051498,18628,53921,4262,5.064117,35.568714
0.051260,18628,53921,4262,5.087671,46.428442
0.054121,18628,53921,4262,4.818719,35.991669
0.054121,18628,53921,4262,4.818719,46.757460
0.061274,18628,53921,4262,4.256223,36.679983
0.051498,18628,53921,4262,5.064117,36.013126
0.051498,18628,53921,4262,5.064117,36.287546
0.054121,18628,53921,4262,4.818719,66.874027
0.053883,18628,53921,4262,4.840041,47.694206
0.055552,18628,53921,4262,4.694632,55.609226
0.053883,18628,53921,4262,4.840041,46.237946
0.055552,18628,53921,4262,4.694632,35.714626
0.054121,18628,53921,4262,4.818719,35.643578
0.054598,18628,53921,4262,4.776635,36.858797
0.054121,18628,53921,4262,4.818719,34.952402
0.055313,18628,53921,4262,4.714868,37.939787
0.051975,18628,53921,4262,5.017657,38.723230
0.054836,18628,53921,4262,4.755867,35.843372
0.051498,18628,53921,4262,5.064117,37.765503
0.053883,18628,53921,4262,4.840041,37.213087
0.055075,18628,53921,4262,4.735278,36.226511
0.051260,18628,53921,4262,5.087671,37.008286
0.058651,18628,53921,4262,4.446542,35.235643
0.051260,18628,53921,4262,5.087671,35.040379
0.054121,18628,53921,4262,4.818719,45.213461
0.051498,18628,53921,4262,5.064117,46.042681
0.053883,18628,53921,4262,4.840041,46.320438
0.054121,18628,53921,4262,4.818719,46.360254
0.054359,18628,53921,4262,4.797585,36.828279
0.054359,18628,53921,4262,4.797585,44.941187
0.054359,18628,53921,4262,4.797585,44.673204
0.054598,18628,53921,4262,4.776635,44.832706
0.054359,18628,53921,4262,4.797585,47.317505
0.051737,18628,53921,4262,5.040780,38.274527
0.051260,18628,53921,4262,5.087671,36.813974
0.051498,18628,53921,4262,5.064117,36.124229
0.055313,18628,53921,4262,4.714868,47.470331
0.054121,18628,53921,4262,4.818719,46.195030
0.051260,18628,53921,4262,5.087671,35.759687
0.051498,18628,53921,4262,5.064117,34.729004
0.054121,18628,53921,4262,4.818719,36.745787
0.054836,18628,53921,4262,4.755867,36.864519
0.051260,18628,53921,4262,5.087671,35.665512
0.051737,18628,53921,4262,5.040780,36.883116
0.053883,18628,53921,4262,4.840041,76.094151
0.051260,18628,53921,4262,5.087671,45.479774
0.051975,18628,53921,4262,5.017657,35.777807
0.051975,18628,53921,4262,5.017657,46.079636
0.053883,18628,53921,4262,4.840041,36.707878
0.053883,18628,53921,4262,4.840041,36.595345
0.054598,18628,53921,4262,4.776635,36.808968
0.050783,18628,53921,4262,5.135443,35.735607
0.055552,18628,53921,4262,4.694632,44.471025
0.054836,18628,53921,4262,4.755867,34.752131
0.054121,18628,53921,4262,4.818719,44.856787
0.056982,18628,53921,4262,4.576775,34.692287
0.053644,18628,53921,4262,4.861553,46.665668
0.053883,18628,53921,4262,4.840041,36.658525
0.054598,18628,53921,4262,4.776635,37.035942
0.058651,18628,53921,4262,4.446542,35.505295
0.056505,18628,53921,4262,4.615398,37.550211
0.054121,18628,53921,4262,4.818719,37.050486
0.054598,18628,53921,4262,4.776635,35.667181
0.051737,18628,53921,4262,5.040780,36.950350
0.054836,18628,53921,4262,4.755867,35.433054
0.054359,18628,53921,4262,4.797585,35.109043
0.051737,18628,53921,4262,5.040780,35.284996
0.051498,18628,53921,4262,5.064117,35.258055
0.051498,18628,53921,4262,5.064117,46.894312
0.062227,18628,53921,4262,4.190994,34.852743
0.051498,18628,53921,4262,5.064117,35.453320
0.051975,18628,53921,4262,5.017657,36.580801
0.053644,18628,53921,4262,4.861553,37.022829
0.051260,18628,53921,4262,5.087671,45.266628
0.053883,18628,53921,4262,4.840041,37.128448
0.051260,18628,53921,4262,5.087671,34.874201
0.053883,18628,53921,4262,4.840041,37.399530
0.051498,18628,53921,4262,5.064117,35.674810
0.054359,18628,53921,4262,4.797585,35.335064
0.054121,18628,53921,4262,4.818719,34.934521
0.053167,18628,53921,4262,4.905154,37.046909
0.053883,18628,53921,4262,4.840041,37.607431
0.054359,18628,53921,4262,4.797585,35.109520
# End of Execution
