# Execution with input file: c-46.mtx, NPROCS: 32, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.020504,4074,5610,3130,12.719178,44.261932,14.30
0.020981,4074,5610,3130,12.430106,44.497013,14.30
0.020504,4074,5610,3130,12.719178,44.193983,14.30
0.020504,4074,5610,3130,12.719178,44.351101,14.30
0.020742,4074,5610,3130,12.572981,44.692278,14.30
0.020027,4074,5610,3130,13.022016,43.878794,14.30
0.020742,4074,5610,3130,12.572981,44.046879,14.30
0.020981,4074,5610,3130,12.430106,44.151068,14.30
0.020742,4074,5610,3130,12.572981,44.200420,14.30
0.020742,4074,5610,3130,12.572981,43.712139,14.30
0.020981,4074,5610,3130,12.430106,43.665648,14.30
0.020504,4074,5610,3130,12.719178,45.225143,14.30
0.021219,4074,5610,3130,12.290442,44.362545,14.30
0.020504,4074,5610,3130,12.719178,43.746710,14.30
0.021219,4074,5610,3130,12.290442,43.015242,14.30
0.020742,4074,5610,3130,12.572981,43.722630,14.30
0.020504,4074,5610,3130,12.719178,43.447733,14.30
0.020742,4074,5610,3130,12.572981,44.384241,14.30
0.020742,4074,5610,3130,12.572981,44.547558,14.30
0.020981,4074,5610,3130,12.430106,44.069767,14.30
0.021219,4074,5610,3130,12.290442,43.644190,14.30
0.020981,4074,5610,3130,12.430106,44.615984,14.30
0.020981,4074,5610,3130,12.430106,43.415785,14.30
0.020266,4074,5610,3130,12.868815,44.134855,14.30
0.020504,4074,5610,3130,12.719178,43.670177,14.31
0.020027,4074,5610,3130,13.022016,43.538570,14.30
0.020742,4074,5610,3130,12.572981,44.948339,14.30
0.020742,4074,5610,3130,12.572981,43.725967,14.30
0.020981,4074,5610,3130,12.430106,44.121265,14.30
0.020504,4074,5610,3130,12.719178,43.529749,14.30
0.020742,4074,5610,3130,12.572981,43.630123,14.30
0.020504,4074,5610,3130,12.719178,44.753790,14.30
0.021219,4074,5610,3130,12.290442,44.228792,14.30
0.020742,4074,5610,3130,12.572981,44.422865,14.30
0.020504,4074,5610,3130,12.719178,44.125795,14.30
0.021219,4074,5610,3130,12.290442,43.339729,14.30
0.020504,4074,5610,3130,12.719178,44.095516,14.30
0.020504,4074,5610,3130,12.719178,44.358969,14.30
0.020027,4074,5610,3130,13.022016,43.278217,14.30
0.020742,4074,5610,3130,12.572981,43.593407,14.30
0.020742,4074,5610,3130,12.572981,43.466806,14.30
0.020504,4074,5610,3130,12.719178,43.693304,14.30
0.020742,4074,5610,3130,12.572981,46.332598,14.30
0.021219,4074,5610,3130,12.290442,43.761492,14.30
0.020742,4074,5610,3130,12.572981,44.590235,14.30
0.021219,4074,5610,3130,12.290442,43.975592,14.30
0.020742,4074,5610,3130,12.572981,43.669462,14.30
0.020981,4074,5610,3130,12.430106,44.216633,14.30
0.020981,4074,5610,3130,12.430106,44.158459,14.30
0.020742,4074,5610,3130,12.572981,43.954372,14.30
0.020742,4074,5610,3130,12.572981,43.627024,14.30
0.020504,4074,5610,3130,12.719178,43.668985,14.30
0.020742,4074,5610,3130,12.572981,43.878317,14.30
0.020981,4074,5610,3130,12.430106,44.005156,14.30
0.020742,4074,5610,3130,12.572981,44.661045,14.30
0.020742,4074,5610,3130,12.572981,43.421268,14.31
0.021219,4074,5610,3130,12.290442,43.366671,14.30
0.020981,4074,5610,3130,12.430106,43.795109,14.30
0.021696,4074,5610,3130,12.020322,41.982651,14.31
0.021696,4074,5610,3130,12.020322,43.287992,14.30
0.020981,4074,5610,3130,12.430106,42.038918,14.30
0.020504,4074,5610,3130,12.719178,44.158697,14.30
0.020504,4074,5610,3130,12.719178,42.326212,14.30
0.026464,4074,5610,3130,9.854498,44.079065,14.30
0.020742,4074,5610,3130,12.572981,43.047428,14.30
0.020504,4074,5610,3130,12.719178,44.529676,14.30
0.020742,4074,5610,3130,12.572981,43.984652,14.30
0.020504,4074,5610,3130,12.719178,43.750525,14.30
0.020981,4074,5610,3130,12.430106,43.877363,14.30
0.020981,4074,5610,3130,12.430106,43.569565,14.30
0.020742,4074,5610,3130,12.572981,44.356108,14.30
0.021219,4074,5610,3130,12.290442,44.575453,14.30
0.020504,4074,5610,3130,12.719178,44.176340,14.30
0.021696,4074,5610,3130,12.020322,43.978691,14.30
