# Execution with input file: c-46.mtx, NPROCS: 128, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.019789,1018,2152,720,13.178907,58.641434
0.022173,1018,2152,720,11.761821,65.650463
0.022173,1018,2152,720,11.761821,59.583187
0.025988,1018,2152,720,10.035315,60.455799
0.023127,1018,2152,720,11.276797,59.591770
0.025749,1018,2152,720,10.128234,59.060335
0.034332,1018,2152,720,7.596176,60.078859
0.039339,1018,2152,720,6.629390,70.417643
0.020266,1018,2152,720,12.868815,62.197208
0.019073,1018,2152,720,13.673116,61.045647
0.030041,1018,2152,720,8.681344,75.464010
0.021696,1018,2152,720,12.020322,61.053276
0.026941,1018,2152,720,9.680082,60.556412
0.031710,1018,2152,720,8.224431,59.111357
0.020742,1018,2152,720,12.572981,89.885950
0.032187,1018,2152,720,8.102588,59.509993
0.022411,1018,2152,720,11.636695,59.366703
0.036955,1018,2152,720,7.057092,59.338570
0.020504,1018,2152,720,12.719178,59.988737
0.021458,1018,2152,720,12.153881,60.450554
0.019550,1018,2152,720,13.339626,59.711695
0.037432,1018,2152,720,6.967193,61.039448
0.030994,1018,2152,720,8.414226,47.476053
0.025988,1018,2152,720,10.035315,68.361521
0.030279,1018,2152,720,8.612987,62.273502
0.024080,1018,2152,720,10.830191,74.143648
0.020981,1018,2152,720,12.430106,61.278582
0.020742,1018,2152,720,12.572981,47.054529
0.026703,1018,2152,720,9.766512,61.213493
0.022411,1018,2152,720,11.636695,63.113451
0.021458,1018,2152,720,12.153881,62.062740
0.022173,1018,2152,720,11.761821,67.120552
0.021219,1018,2152,720,12.290442,78.241825
0.020981,1018,2152,720,12.430106,61.952829
0.022888,1018,2152,720,11.394264,58.883905
0.021696,1018,2152,720,12.020322,62.641859
0.029325,1018,2152,720,8.893084,63.505411
0.021458,1018,2152,720,12.153881,58.408499
0.022650,1018,2152,720,11.514203,61.211586
0.021219,1018,2152,720,12.290442,66.682816
0.021696,1018,2152,720,12.020322,59.011936
0.020504,1018,2152,720,12.719178,60.911179
0.023365,1018,2152,720,11.161728,61.077595
0.019789,1018,2152,720,13.178907,60.553789
0.024796,1018,2152,720,10.517782,60.438633
0.020742,1018,2152,720,12.572981,60.003042
0.021935,1018,2152,720,11.889666,60.713530
0.021935,1018,2152,720,11.889666,60.541153
0.021696,1018,2152,720,12.020322,60.609102
0.030279,1018,2152,720,8.612987,70.694447
0.022173,1018,2152,720,11.761821,63.840866
0.020742,1018,2152,720,12.572981,58.940172
0.021219,1018,2152,720,12.290442,58.917761
0.023842,1018,2152,720,10.938493,61.073303
0.029087,1018,2152,720,8.965978,59.395790
0.021219,1018,2152,720,12.290442,60.300589
0.022173,1018,2152,720,11.761821,70.639372
0.031233,1018,2152,720,8.349995,66.326857
0.020981,1018,2152,720,12.430106,59.243441
0.020266,1018,2152,720,12.868815,61.194658
0.021935,1018,2152,720,11.889666,61.394691
0.027180,1018,2152,720,9.595169,62.707424
0.023365,1018,2152,720,11.161728,60.857296
0.021696,1018,2152,720,12.020322,58.022976
0.020266,1018,2152,720,12.868815,59.098244
0.021458,1018,2152,720,12.153881,60.839176
0.021458,1018,2152,720,12.153881,61.936378
0.024080,1018,2152,720,10.830191,60.350895
0.021219,1018,2152,720,12.290442,59.918404
0.022411,1018,2152,720,11.636695,47.227859
0.030756,1018,2152,720,8.479452,159.176826
0.026941,1018,2152,720,9.680082,63.740015
0.022650,1018,2152,720,11.514203,61.173916
0.027180,1018,2152,720,9.595169,62.744617
0.021458,1018,2152,720,12.153881,61.048985
0.020981,1018,2152,720,12.430106,61.173439
0.020742,1018,2152,720,12.572981,65.115690
0.021219,1018,2152,720,12.290442,46.543121
0.022411,1018,2152,720,11.636695,61.104536
0.019789,1018,2152,720,13.178907,46.438932
0.024796,1018,2152,720,10.517782,60.725212
0.021458,1018,2152,720,12.153881,59.640646
0.021696,1018,2152,720,12.020322,69.174290
0.023127,1018,2152,720,11.276797,60.316086
0.033140,1018,2152,720,7.869420,62.039614
0.021696,1018,2152,720,12.020322,60.602427
0.021458,1018,2152,720,12.153881,62.627077
0.020981,1018,2152,720,12.430106,65.655708
0.020981,1018,2152,720,12.430106,59.685707
0.035048,1018,2152,720,7.441152,63.415527
0.020027,1018,2152,720,13.022016,60.122013
0.050306,1018,2152,720,5.184120,60.378075
0.021458,1018,2152,720,12.153881,58.916330
0.020981,1018,2152,720,12.430106,61.156511
0.025749,1018,2152,720,10.128234,61.174631
0.021696,1018,2152,720,12.020322,62.497139
0.028133,1018,2152,720,9.269909,70.293665
0.020981,1018,2152,720,12.430106,62.109947
0.023842,1018,2152,720,10.938493,67.826033
0.021935,1018,2152,720,11.889666,60.800314
# End of Execution
