# Execution with input file: c-46.mtx, NPROCS: 1, SELECTED MODE: SEQUENTIAL EXECUTION
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.160719,130397,130397,130397,0.000261,0,12.37
0.188862,130397,130397,130397,0.000261,0,12.37
0.197123,130397,130397,130397,0.000261,0,12.37
#[proxy:0:0@hpc-c12-node28.unitn.it] HYDU_create_process (/apps/devel/mpich-3.2.1/src/pm/hydra/utils/launch/launch.c:74): execvp error on file ./src/main.out (Permission denied)
#[proxy:0:0@hpc-c12-node28.unitn.it] HYDU_create_process (/apps/devel/mpich-3.2.1/src/pm/hydra/utils/launch/launch.c:74): execvp error on file ./src/main.out (Permission denied)
#[proxy:0:0@hpc-c12-node28.unitn.it] HYDU_create_process (/apps/devel/mpich-3.2.1/src/pm/hydra/utils/launch/launch.c:74): execvp error on file ./src/main.out (Permission denied)
#[proxy:0:0@hpc-c12-node28.unitn.it] HYDU_create_process (/apps/devel/mpich-3.2.1/src/pm/hydra/utils/launch/launch.c:74): execvp error on file ./src/main.out (Permission denied)
0.159159,130397,130397,130397,0.000261,0,12.37
0.193077,130397,130397,130397,0.000261,0,12.37
0.157381,130397,130397,130397,0.000261,0,12.36
0.201765,130397,130397,130397,0.000261,0,12.36
0.203407,130397,130397,130397,0.000261,0,12.37
0.160892,130397,130397,130397,0.000261,0,12.37
0.177673,130397,130397,130397,0.000261,0,12.37
0.159491,130397,130397,130397,0.000261,0,12.37
0.161211,130397,130397,130397,0.000261,0,12.37
0.166349,130397,130397,130397,0.000261,0,12.37
0.156340,130397,130397,130397,0.000261,0,12.37
0.202148,130397,130397,130397,0.000261,0,12.37
0.186552,130397,130397,130397,0.000261,0,12.37
0.168139,130397,130397,130397,0.000261,0,12.37
0.189522,130397,130397,130397,0.000261,0,12.36
0.190981,130397,130397,130397,0.000261,0,12.37
0.159365,130397,130397,130397,0.000261,0,12.37
0.197598,130397,130397,130397,0.000261,0,12.36
0.205639,130397,130397,130397,0.000261,0,12.37
0.192123,130397,130397,130397,0.000261,0,12.37
0.159416,130397,130397,130397,0.000261,0,12.37
0.159653,130397,130397,130397,0.000261,0,12.37
0.158184,130397,130397,130397,0.000261,0,12.37
0.188635,130397,130397,130397,0.000261,0,12.37
0.159109,130397,130397,130397,0.000261,0,12.38
0.162413,130397,130397,130397,0.000261,0,12.37
0.158842,130397,130397,130397,0.000261,0,12.37
0.158354,130397,130397,130397,0.000261,0,12.37
0.161497,130397,130397,130397,0.000261,0,12.37
0.184772,130397,130397,130397,0.000261,0,12.37
0.308990,130397,130397,130397,0.000261,0,12.37
0.189222,130397,130397,130397,0.000261,0,12.37
0.204348,130397,130397,130397,0.000261,0,12.37
0.171265,130397,130397,130397,0.000261,0,12.37
0.201008,130397,130397,130397,0.000261,0,12.37
0.161196,130397,130397,130397,0.000261,0,12.37
0.185984,130397,130397,130397,0.000261,0,12.37
0.202196,130397,130397,130397,0.000261,0,12.37
0.169807,130397,130397,130397,0.000261,0,12.36
0.193077,130397,130397,130397,0.000261,0,12.37
0.158609,130397,130397,130397,0.000261,0,12.37
0.189735,130397,130397,130397,0.000261,0,12.37
0.186968,130397,130397,130397,0.000261,0,12.37
0.204330,130397,130397,130397,0.000261,0,12.36
0.206682,130397,130397,130397,0.000261,0,12.38
0.187384,130397,130397,130397,0.000261,0,12.37
0.191631,130397,130397,130397,0.000261,0,12.37
0.160147,130397,130397,130397,0.000261,0,12.37
0.159176,130397,130397,130397,0.000261,0,12.36
0.190477,130397,130397,130397,0.000261,0,12.37
0.160540,130397,130397,130397,0.000261,0,12.36
0.159430,130397,130397,130397,0.000261,0,12.36
0.198488,130397,130397,130397,0.000261,0,12.37
0.186289,130397,130397,130397,0.000261,0,12.37
0.168022,130397,130397,130397,0.000261,0,12.37
0.163851,130397,130397,130397,0.000261,0,12.37
0.159163,130397,130397,130397,0.000261,0,12.37
0.198326,130397,130397,130397,0.000261,0,12.37
0.189611,130397,130397,130397,0.000261,0,12.37
0.178293,130397,130397,130397,0.000261,0,12.37
0.191113,130397,130397,130397,0.000261,0,12.37
0.158613,130397,130397,130397,0.000261,0,12.37
0.165230,130397,130397,130397,0.000261,0,12.37
0.159632,130397,130397,130397,0.000261,0,12.37
0.199045,130397,130397,130397,0.000261,0,12.37
0.189938,130397,130397,130397,0.000261,0,12.37
0.205505,130397,130397,130397,0.000261,0,12.37
0.202785,130397,130397,130397,0.000261,0,12.37
0.156858,130397,130397,130397,0.000261,0,12.37
0.194510,130397,130397,130397,0.000261,0,12.37
0.193596,130397,130397,130397,0.000261,0,12.37
0.159380,130397,130397,130397,0.000261,0,12.36
0.185602,130397,130397,130397,0.000261,0,12.37
0.202343,130397,130397,130397,0.000261,0,12.37
0.217836,130397,130397,130397,0.000261,0,12.37
0.162952,130397,130397,130397,0.000261,0,12.36
0.191559,130397,130397,130397,0.000261,0,12.37
0.213055,130397,130397,130397,0.000261,0,12.37
0.194279,130397,130397,130397,0.000261,0,12.36
0.209284,130397,130397,130397,0.000261,0,12.37
0.188532,130397,130397,130397,0.000261,0,12.37
0.186407,130397,130397,130397,0.000261,0,12.37
0.176523,130397,130397,130397,0.000261,0,12.37
0.158182,130397,130397,130397,0.000261,0,12.37
0.160597,130397,130397,130397,0.000261,0,12.37
0.200821,130397,130397,130397,0.000261,0,12.37
0.192364,130397,130397,130397,0.000261,0,12.37
0.160650,130397,130397,130397,0.000261,0,12.37
0.190989,130397,130397,130397,0.000261,0,12.37
0.157888,130397,130397,130397,0.000261,0,12.37
0.172577,130397,130397,130397,0.000261,0,12.36
0.159809,130397,130397,130397,0.000261,0,12.37
0.199640,130397,130397,130397,0.000261,0,12.36
# End of Execution
