# Execution with input file: epb1.mtx, NPROCS: 128, SELECTED MODE: 1D BLOCK PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.001192,748,754,598,159.472471,118.950129,10.05
0.001192,748,754,598,159.472471,98.095655,10.05
0.001192,748,754,598,159.472471,87.973356,10.05
0.001669,748,754,598,113.908908,80.342293,10.05
0.001192,748,754,598,159.472471,76.454401,10.05
0.001192,748,754,598,159.472471,81.336260,10.05
0.018835,748,754,598,10.093194,79.905033,10.05
0.001192,748,754,598,159.472471,99.740982,10.05
0.001192,748,754,598,159.472471,123.275280,10.05
0.001192,748,754,598,159.472471,109.231234,10.05
0.019312,748,754,598,9.843980,102.312565,10.05
0.007868,748,754,598,24.162496,86.097240,10.05
0.001907,748,754,598,99.670295,95.969915,10.05
0.001192,748,754,598,159.472471,89.576960,10.05
0.001192,748,754,598,159.472471,132.852077,10.05
0.001192,748,754,598,159.472471,78.385592,10.05
0.002384,748,754,598,79.736236,94.701529,10.05
0.001192,748,754,598,159.472471,90.137243,10.05
0.001192,748,754,598,159.472471,95.315933,10.05
0.014782,748,754,598,12.860683,95.852852,10.05
0.001192,748,754,598,159.472471,156.783819,10.05
0.001192,748,754,598,159.472471,85.200548,10.05
0.003815,748,754,598,49.835147,112.082958,10.05
0.005722,748,754,598,33.223432,93.605518,10.05
0.001431,748,754,598,132.893726,80.089569,10.05
0.001192,748,754,598,159.472471,88.086128,10.05
0.001192,748,754,598,159.472471,82.780361,10.05
0.003576,748,754,598,53.157490,108.258724,10.05
0.001192,748,754,598,159.472471,102.611542,10.05
0.001192,748,754,598,159.472471,101.346016,10.05
0.020027,748,754,598,9.492409,90.599298,10.05
0.001192,748,754,598,159.472471,88.034391,10.05
0.001192,748,754,598,159.472471,84.403992,10.05
0.001192,748,754,598,159.472471,94.757318,10.05
0.001192,748,754,598,159.472471,107.404232,10.05
0.001192,748,754,598,159.472471,81.999063,10.05
0.001192,748,754,598,159.472471,88.524818,10.05
0.009060,748,754,598,20.983220,93.294859,10.05
0.001192,748,754,598,159.472471,81.544399,10.05
0.001907,748,754,598,99.670295,96.297026,10.05
0.001192,748,754,598,159.472471,89.135647,10.05
0.001192,748,754,598,159.472471,112.051725,10.05
0.001192,748,754,598,159.472471,82.341194,10.05
0.001192,748,754,598,159.472471,81.889629,10.06
0.001192,748,754,598,159.472471,83.600998,10.05
0.001192,748,754,598,159.472471,86.929798,10.05
0.001192,748,754,598,159.472471,84.853411,10.05
0.001192,748,754,598,159.472471,81.910610,10.05
0.001192,748,754,598,159.472471,79.458237,10.05
0.001192,748,754,598,159.472471,88.214636,10.05
0.003338,748,754,598,56.954454,76.417685,10.05
0.001192,748,754,598,159.472471,85.032463,10.05
0.001192,748,754,598,159.472471,88.586092,10.05
0.001192,748,754,598,159.472471,126.367807,10.05
0.001192,748,754,598,159.472471,88.105679,10.05
0.001192,748,754,598,159.472471,85.142136,10.05
0.001192,748,754,598,159.472471,88.689089,10.05
0.001192,748,754,598,159.472471,92.624664,10.05
0.001192,748,754,598,159.472471,87.298870,10.05
0.016212,748,754,598,11.725917,80.530643,10.05
0.001192,748,754,598,159.472471,86.911201,10.05
0.001431,748,754,598,132.893726,89.822531,10.05
0.002384,748,754,598,79.736236,83.513498,10.05
0.001431,748,754,598,132.893726,137.182713,10.05
0.001192,748,754,598,159.472471,134.835720,10.05
0.001192,748,754,598,159.472471,92.574596,10.05
0.001431,748,754,598,132.893726,85.550547,10.05
0.002146,748,754,598,88.595817,85.081816,10.05
0.001431,748,754,598,132.893726,87.484837,10.05
0.001192,748,754,598,159.472471,86.290598,10.05
0.001431,748,754,598,132.893726,90.885162,10.05
0.001192,748,754,598,159.472471,122.426748,10.05
0.000954,748,754,598,199.340589,86.537838,10.05
0.001192,748,754,598,159.472471,91.299772,10.05
0.001192,748,754,598,159.472471,91.266394,10.05
0.001192,748,754,598,159.472471,93.141794,10.05
0.003099,748,754,598,61.335566,79.213858,10.05
0.001192,748,754,598,159.472471,82.116842,10.05
0.001431,748,754,598,132.893726,79.775810,10.05
0.031471,748,754,598,6.040624,79.532862,10.05
0.001192,748,754,598,159.472471,103.503704,10.05
0.001192,748,754,598,159.472471,79.977751,10.05
0.001192,748,754,598,159.472471,80.587626,10.05
0.000954,748,754,598,199.340589,84.513426,10.05
0.001192,748,754,598,159.472471,80.192804,10.05
0.002623,748,754,598,72.487487,83.439112,10.05
0.017881,748,754,598,10.631498,87.812185,10.05
0.001192,748,754,598,159.472471,92.097998,10.05
0.001192,748,754,598,159.472471,81.604004,10.05
0.001669,748,754,598,113.908908,99.758387,10.05
0.001192,748,754,598,159.472471,99.586487,10.05
0.002384,748,754,598,79.736236,81.323862,10.05
0.001192,748,754,598,159.472471,79.607010,10.05
0.002861,748,754,598,66.446863,81.574917,10.05
0.001192,748,754,598,159.472471,92.297554,10.05
0.001192,748,754,598,159.472471,119.910240,10.05
0.001192,748,754,598,159.472471,90.861082,10.05
0.001192,748,754,598,159.472471,99.724531,10.05
0.001431,748,754,598,132.893726,199.918985,10.05
0.002384,748,754,598,79.736236,118.730545,10.05
# End of Execution
