# Execution with input file: epb1.mtx, NPROCS: 32, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.020266,2970,2978,2966,9.380734,70.869207,12.42
0.023127,2970,2978,2966,8.220230,53.034067,12.43
0.019550,2970,2978,2966,9.723931,60.928822,12.42
0.018120,2970,2978,2966,10.491610,53.549767,12.42
0.025988,2970,2978,2966,7.315251,52.996159,12.42
0.020504,2970,2978,2966,9.271655,53.216457,12.42
0.021696,2970,2978,2966,8.762224,67.983389,12.42
0.019073,2970,2978,2966,9.967029,61.406612,12.42
0.020504,2970,2978,2966,9.271655,64.190626,12.42
0.022888,2970,2978,2966,8.305858,61.545849,12.42
0.018120,2970,2978,2966,10.491610,53.588152,12.42
0.021219,2970,2978,2966,8.959128,67.682743,12.42
0.017881,2970,2978,2966,10.631498,52.831411,12.42
0.017881,2970,2978,2966,10.631498,52.997828,12.42
0.017881,2970,2978,2966,10.631498,53.377867,12.42
0.017881,2970,2978,2966,10.631498,53.407907,12.42
0.021458,2970,2978,2966,8.859582,61.102152,12.42
0.019550,2970,2978,2966,9.723931,61.298132,12.42
0.018358,2970,2978,2966,10.355355,54.091454,12.42
0.020027,2970,2978,2966,9.492409,61.658382,12.42
0.019789,2970,2978,2966,9.606775,56.638956,12.42
0.017881,2970,2978,2966,10.631498,63.941956,12.42
0.018597,2970,2978,2966,10.222594,61.188221,12.42
0.020266,2970,2978,2966,9.380734,82.366943,12.42
0.018597,2970,2978,2966,10.222594,53.157091,12.42
0.020742,2970,2978,2966,9.165085,61.311722,12.42
0.026941,2970,2978,2966,7.056304,71.686745,12.42
0.017881,2970,2978,2966,10.631498,54.079771,12.42
0.020742,2970,2978,2966,9.165085,61.452627,12.42
0.018120,2970,2978,2966,10.491610,65.500736,12.42
0.018120,2970,2978,2966,10.491610,55.166245,12.42
0.021219,2970,2978,2966,8.959128,62.838793,12.42
0.019312,2970,2978,2966,9.843980,60.788393,12.42
0.020266,2970,2978,2966,9.380734,62.356710,12.42
0.018120,2970,2978,2966,10.491610,52.761555,12.42
0.020504,2970,2978,2966,9.271655,61.429262,12.42
0.020504,2970,2978,2966,9.271655,71.701765,12.42
0.020742,2970,2978,2966,9.165085,65.964699,12.42
0.018120,2970,2978,2966,10.491610,61.393023,12.42
0.017881,2970,2978,2966,10.631498,53.846836,12.42
0.017643,2970,2978,2966,10.775167,52.607536,12.42
0.017881,2970,2978,2966,10.631498,52.519560,12.42
0.021696,2970,2978,2966,8.762224,61.860323,12.42
0.019550,2970,2978,2966,9.723931,53.185701,12.43
0.017643,2970,2978,2966,10.775167,52.889109,12.42
0.017881,2970,2978,2966,10.631498,56.360245,12.42
0.017881,2970,2978,2966,10.631498,53.437710,12.42
0.018835,2970,2978,2966,10.093194,61.777830,12.42
0.019550,2970,2978,2966,9.723931,50.420284,12.42
0.021219,2970,2978,2966,8.959128,61.424255,12.42
0.019789,2970,2978,2966,9.606775,53.461075,12.42
0.017405,2970,2978,2966,10.922772,54.980993,12.42
0.017881,2970,2978,2966,10.631498,53.748608,12.42
0.018120,2970,2978,2966,10.491610,53.838253,12.42
0.020504,2970,2978,2966,9.271655,87.366343,12.42
0.019312,2970,2978,2966,9.843980,61.731815,12.42
0.018358,2970,2978,2966,10.355355,60.939074,12.42
0.018120,2970,2978,2966,10.491610,73.991299,12.42
0.017405,2970,2978,2966,10.922772,53.756237,12.42
0.017881,2970,2978,2966,10.631498,52.692413,12.42
0.018120,2970,2978,2966,10.491610,53.274393,12.42
0.018120,2970,2978,2966,10.491610,53.971529,12.42
0.018120,2970,2978,2966,10.491610,57.088375,12.42
0.019312,2970,2978,2966,9.843980,52.995682,12.42
0.019550,2970,2978,2966,9.723931,60.735464,12.42
0.018120,2970,2978,2966,10.491610,54.128647,12.42
0.020742,2970,2978,2966,9.165085,62.189579,12.43
0.020266,2970,2978,2966,9.380734,60.861588,12.42
0.018120,2970,2978,2966,10.491610,53.742647,12.42
0.017881,2970,2978,2966,10.631498,54.140091,12.42
0.019312,2970,2978,2966,9.843980,63.392639,12.42
0.020742,2970,2978,2966,9.165085,67.298174,12.42
0.019073,2970,2978,2966,9.967029,61.860800,12.42
0.019312,2970,2978,2966,9.843980,53.147078,12.42
0.017881,2970,2978,2966,10.631498,63.130379,12.42
0.018358,2970,2978,2966,10.355355,73.792696,12.42
0.020742,2970,2978,2966,9.165085,67.674398,12.42
0.019312,2970,2978,2966,9.843980,55.350542,12.42
0.019073,2970,2978,2966,9.967029,61.559916,12.42
0.019550,2970,2978,2966,9.723931,62.274694,12.42
0.019312,2970,2978,2966,9.843980,62.895536,12.42
0.017881,2970,2978,2966,10.631498,53.359747,12.42
0.019550,2970,2978,2966,9.723931,54.083347,12.42
0.020027,2970,2978,2966,9.492409,61.515331,12.42
0.020742,2970,2978,2966,9.165085,87.312698,12.42
0.018120,2970,2978,2966,10.491610,54.831028,12.42
0.017643,2970,2978,2966,10.775167,54.459333,12.42
0.019550,2970,2978,2966,9.723931,60.050488,12.42
0.017643,2970,2978,2966,10.775167,53.318739,12.42
0.017881,2970,2978,2966,10.631498,54.622412,12.42
0.021935,2970,2978,2966,8.666982,110.004187,12.42
0.017881,2970,2978,2966,10.631498,64.397097,12.42
0.028849,2970,2978,2966,6.589772,65.828800,12.42
0.026703,2970,2978,2966,7.119307,61.525106,12.42
0.020981,2970,2978,2966,9.060936,66.297531,12.42
0.019550,2970,2978,2966,9.723931,52.276134,12.42
0.017643,2970,2978,2966,10.775167,53.387880,12.42
0.020266,2970,2978,2966,9.380734,71.240425,12.42
0.020027,2970,2978,2966,9.492409,55.010557,12.42
0.018358,2970,2978,2966,10.355355,72.129250,12.42
# End of Execution
