# Execution with input file: epb1.mtx, NPROCS: 4, SELECTED MODE: 2D BLOCK PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.029802,31684,31799,31613,6.378899,88.885069
0.024080,31684,31799,31613,7.894677,86.188316
0.025272,31684,31799,31613,7.522286,81.817150
0.022888,31684,31799,31613,8.305858,81.798553
0.023842,31684,31799,31613,7.973624,86.091042
0.024319,31684,31799,31613,7.817278,87.153435
0.022888,31684,31799,31613,8.305858,81.539631
0.024080,31684,31799,31613,7.894677,86.199999
0.022888,31684,31799,31613,8.305858,82.940102
0.022888,31684,31799,31613,8.305858,85.110188
0.022888,31684,31799,31613,8.305858,81.576347
0.023842,31684,31799,31613,7.973624,86.115837
0.023842,31684,31799,31613,7.973624,86.231709
0.023842,31684,31799,31613,7.973624,86.384058
0.024080,31684,31799,31613,7.894677,86.143732
0.022888,31684,31799,31613,8.305858,81.428289
0.022650,31684,31799,31613,8.393288,81.418514
0.022888,31684,31799,31613,8.305858,81.423521
0.022888,31684,31799,31613,8.305858,81.558943
0.023842,31684,31799,31613,7.973624,86.198568
0.024080,31684,31799,31613,7.894677,86.233854
0.022888,31684,31799,31613,8.305858,82.434893
0.024080,31684,31799,31613,7.894677,86.222410
0.022888,31684,31799,31613,8.305858,81.737518
0.022888,31684,31799,31613,8.305858,81.398010
0.022888,31684,31799,31613,8.305858,81.359625
0.022888,31684,31799,31613,8.305858,81.497431
0.022888,31684,31799,31613,8.305858,82.086802
0.022888,31684,31799,31613,8.305858,81.849575
0.022888,31684,31799,31613,8.305858,81.751823
0.027418,31684,31799,31613,6.933586,81.458807
0.024319,31684,31799,31613,7.817278,82.689047
0.022888,31684,31799,31613,8.305858,81.713438
0.022888,31684,31799,31613,8.305858,82.870007
0.022888,31684,31799,31613,8.305858,81.951618
0.027895,31684,31799,31613,6.815063,86.467981
0.022650,31684,31799,31613,8.393288,81.870317
0.024796,31684,31799,31613,7.666946,81.485748
0.024080,31684,31799,31613,7.894677,86.207151
0.022888,31684,31799,31613,8.305858,81.469536
0.023842,31684,31799,31613,7.973624,86.227179
0.022888,31684,31799,31613,8.305858,81.352949
0.023842,31684,31799,31613,7.973624,86.129427
0.024080,31684,31799,31613,7.894677,83.000183
0.023842,31684,31799,31613,7.973624,86.194515
0.022888,31684,31799,31613,8.305858,81.430435
0.026941,31684,31799,31613,7.056304,82.230568
0.022888,31684,31799,31613,8.305858,81.468582
0.023127,31684,31799,31613,8.220230,82.026720
0.022650,31684,31799,31613,8.393288,81.373930
0.022888,31684,31799,31613,8.305858,81.550360
0.039577,31684,31799,31613,4.803388,86.200953
0.022650,31684,31799,31613,8.393288,81.431627
0.022888,31684,31799,31613,8.305858,81.917048
0.022888,31684,31799,31613,8.305858,82.733393
0.024080,31684,31799,31613,7.894677,86.102724
0.023127,31684,31799,31613,8.220230,81.386089
0.022888,31684,31799,31613,8.305858,81.488132
0.022888,31684,31799,31613,8.305858,81.489325
0.024080,31684,31799,31613,7.894677,86.033344
0.022888,31684,31799,31613,8.305858,81.534624
0.023127,31684,31799,31613,8.220230,81.576586
0.024557,31684,31799,31613,7.741382,86.273193
0.024080,31684,31799,31613,7.894677,86.197376
0.022650,31684,31799,31613,8.393288,81.687927
0.022888,31684,31799,31613,8.305858,81.739426
0.022888,31684,31799,31613,8.305858,83.652735
0.022888,31684,31799,31613,8.305858,81.398726
0.022650,31684,31799,31613,8.393288,81.515551
0.022888,31684,31799,31613,8.305858,81.949234
0.022650,31684,31799,31613,8.393288,81.753969
0.023842,31684,31799,31613,7.973624,86.164951
0.022888,31684,31799,31613,8.305858,81.545115
0.023365,31684,31799,31613,8.136351,82.250595
0.022888,31684,31799,31613,8.305858,81.453323
0.022888,31684,31799,31613,8.305858,81.511974
0.022650,31684,31799,31613,8.393288,81.449509
0.023127,31684,31799,31613,8.220230,82.103968
0.022888,31684,31799,31613,8.305858,81.490278
0.023127,31684,31799,31613,8.220230,81.491947
0.023127,31684,31799,31613,8.220230,82.205057
0.024080,31684,31799,31613,7.894677,86.060524
0.023842,31684,31799,31613,7.973624,86.123228
0.023127,31684,31799,31613,8.220230,81.595659
0.023127,31684,31799,31613,8.220230,81.745863
0.023127,31684,31799,31613,8.220230,81.679821
0.022888,31684,31799,31613,8.305858,81.421852
0.022888,31684,31799,31613,8.305858,81.645250
0.022888,31684,31799,31613,8.305858,82.757711
0.022650,31684,31799,31613,8.393288,82.828045
0.022888,31684,31799,31613,8.305858,81.771374
0.022650,31684,31799,31613,8.393288,81.541538
0.022650,31684,31799,31613,8.393288,81.394911
0.025034,31684,31799,31613,7.593927,81.597805
0.023842,31684,31799,31613,7.973624,86.118221
0.022650,31684,31799,31613,8.393288,81.474066
0.024319,31684,31799,31613,7.817278,86.325169
0.022888,31684,31799,31613,8.305858,83.114624
0.023127,31684,31799,31613,8.220230,83.750963
0.023842,31684,31799,31613,7.973624,86.222172
# End of Execution
