# Execution with input file: epb1.mtx, NPROCS: 1, SELECTED MODE: SEQUENTIAL EXECUTION
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.073421,95053,95053,95053,0.000190,0,11.16
0.071480,95053,95053,95053,0.000190,0,11.16
0.073109,95053,95053,95053,0.000190,0,11.16
0.066044,95053,95053,95053,0.000190,0,11.16
0.071651,95053,95053,95053,0.000190,0,11.16
0.068480,95053,95053,95053,0.000190,0,11.16
0.067444,95053,95053,95053,0.000190,0,11.16
0.067484,95053,95053,95053,0.000190,0,11.16
0.065825,95053,95053,95053,0.000190,0,11.16
0.069492,95053,95053,95053,0.000190,0,11.16
0.070173,95053,95053,95053,0.000190,0,11.16
0.069855,95053,95053,95053,0.000190,0,11.16
0.065947,95053,95053,95053,0.000190,0,11.16
0.070906,95053,95053,95053,0.000190,0,11.16
0.069805,95053,95053,95053,0.000190,0,11.16
0.067547,95053,95053,95053,0.000190,0,11.16
0.069700,95053,95053,95053,0.000190,0,13.05
0.066851,95053,95053,95053,0.000190,0,11.16
0.069748,95053,95053,95053,0.000190,0,11.17
0.066650,95053,95053,95053,0.000190,0,11.16
0.066919,95053,95053,95053,0.000190,0,11.16
0.070381,95053,95053,95053,0.000190,0,11.16
0.070822,95053,95053,95053,0.000190,0,11.17
0.068174,95053,95053,95053,0.000190,0,11.16
0.067884,95053,95053,95053,0.000190,0,11.16
0.067608,95053,95053,95053,0.000190,0,11.17
0.065765,95053,95053,95053,0.000190,0,11.16
0.069765,95053,95053,95053,0.000190,0,11.16
0.067944,95053,95053,95053,0.000190,0,11.16
0.068346,95053,95053,95053,0.000190,0,11.16
0.065714,95053,95053,95053,0.000190,0,11.16
0.068573,95053,95053,95053,0.000190,0,11.16
0.069761,95053,95053,95053,0.000190,0,11.16
0.067764,95053,95053,95053,0.000190,0,11.17
0.068197,95053,95053,95053,0.000190,0,11.16
0.070055,95053,95053,95053,0.000190,0,11.16
0.070812,95053,95053,95053,0.000190,0,11.16
0.066858,95053,95053,95053,0.000190,0,11.19
0.068005,95053,95053,95053,0.000190,0,11.16
0.068110,95053,95053,95053,0.000190,0,11.16
0.068735,95053,95053,95053,0.000190,0,11.17
0.066364,95053,95053,95053,0.000190,0,11.16
0.069788,95053,95053,95053,0.000190,0,11.16
0.067778,95053,95053,95053,0.000190,0,11.16
0.066610,95053,95053,95053,0.000190,0,11.16
0.067379,95053,95053,95053,0.000190,0,11.16
0.069773,95053,95053,95053,0.000190,0,11.16
0.067760,95053,95053,95053,0.000190,0,11.16
0.069569,95053,95053,95053,0.000190,0,11.17
0.068975,95053,95053,95053,0.000190,0,11.16
0.065926,95053,95053,95053,0.000190,0,11.16
0.065956,95053,95053,95053,0.000190,0,11.16
0.068222,95053,95053,95053,0.000190,0,11.16
0.068359,95053,95053,95053,0.000190,0,11.16
0.069437,95053,95053,95053,0.000190,0,11.17
0.065796,95053,95053,95053,0.000190,0,11.17
0.071310,95053,95053,95053,0.000190,0,11.17
0.068365,95053,95053,95053,0.000190,0,11.16
0.066202,95053,95053,95053,0.000190,0,11.16
0.067339,95053,95053,95053,0.000190,0,11.17
0.069040,95053,95053,95053,0.000190,0,11.16
0.069248,95053,95053,95053,0.000190,0,11.17
0.067234,95053,95053,95053,0.000190,0,11.17
0.068146,95053,95053,95053,0.000190,0,11.16
0.067038,95053,95053,95053,0.000190,0,11.16
0.066916,95053,95053,95053,0.000190,0,11.16
0.069530,95053,95053,95053,0.000190,0,11.16
0.071466,95053,95053,95053,0.000190,0,11.16
0.068943,95053,95053,95053,0.000190,0,11.17
0.066376,95053,95053,95053,0.000190,0,11.16
0.067282,95053,95053,95053,0.000190,0,11.16
0.069754,95053,95053,95053,0.000190,0,11.17
0.067516,95053,95053,95053,0.000190,0,11.16
0.066618,95053,95053,95053,0.000190,0,11.16
0.069469,95053,95053,95053,0.000190,0,11.17
0.069740,95053,95053,95053,0.000190,0,11.16
0.067499,95053,95053,95053,0.000190,0,11.17
0.066620,95053,95053,95053,0.000190,0,11.16
0.072609,95053,95053,95053,0.000190,0,11.17
0.068768,95053,95053,95053,0.000190,0,11.16
0.066124,95053,95053,95053,0.000190,0,11.16
0.070345,95053,95053,95053,0.000190,0,11.17
0.067194,95053,95053,95053,0.000190,0,11.16
0.065910,95053,95053,95053,0.000190,0,11.16
0.069027,95053,95053,95053,0.000190,0,11.16
0.067640,95053,95053,95053,0.000190,0,11.16
0.069477,95053,95053,95053,0.000190,0,11.16
0.067808,95053,95053,95053,0.000190,0,11.17
0.068363,95053,95053,95053,0.000190,0,11.16
0.066349,95053,95053,95053,0.000190,0,11.16
0.067753,95053,95053,95053,0.000190,0,11.16
0.067875,95053,95053,95053,0.000190,0,11.16
0.066107,95053,95053,95053,0.000190,0,11.16
0.068054,95053,95053,95053,0.000190,0,11.16
0.066328,95053,95053,95053,0.000190,0,11.16
0.069231,95053,95053,95053,0.000190,0,11.16
0.070999,95053,95053,95053,0.000190,0,11.16
0.068426,95053,95053,95053,0.000190,0,11.16
0.073893,95053,95053,95053,0.000190,0,11.16
0.069139,95053,95053,95053,0.000190,0,11.16
# End of Execution
