# Execution with input file: fd12.mtx, NPROCS: 128, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.016928,222,227,217,3.362768,35.576820,9.04
0.030756,222,227,217,1.850826,36.783218,9.23
0.009775,222,227,217,5.823331,33.541203,9.24
0.009775,222,227,217,5.823331,37.256956,9.23
0.025034,222,227,217,2.273872,34.165621,9.04
0.013351,222,227,217,4.263510,30.469418,9.23
0.009298,222,227,217,6.121963,66.705704,9.04
0.009537,222,227,217,5.968914,29.817104,9.24
0.009298,222,227,217,6.121963,51.157713,9.04
0.009060,222,227,217,6.283067,33.934593,9.23
0.017166,222,227,217,3.316063,37.965536,9.29
0.010014,222,227,217,5.684680,31.514406,9.04
0.010490,222,227,217,5.426285,38.220406,9.23
0.010252,222,227,217,5.552478,42.421818,9.04
0.015497,222,227,217,3.673178,61.766386,9.04
0.009060,222,227,217,6.283067,33.293962,9.23
0.009537,222,227,217,5.968914,33.794880,9.23
0.010490,222,227,217,5.426285,62.864780,9.04
0.011444,222,227,217,4.974095,58.974981,9.22
0.009060,222,227,217,6.283067,34.964323,9.04
0.014305,222,227,217,3.979276,33.018112,9.05
0.014544,222,227,217,3.914042,31.422853,9.29
0.015020,222,227,217,3.789787,34.146786,9.04
0.014305,222,227,217,3.979276,35.554647,9.23
0.009298,222,227,217,6.121963,35.906792,9.04
0.010014,222,227,217,5.684680,32.237530,9.23
0.027418,222,227,217,2.076144,36.333561,9.28
0.009298,222,227,217,6.121963,103.607893,9.29
0.009298,222,227,217,6.121963,32.357693,9.04
0.019312,222,227,217,2.947612,172.276974,9.04
0.011444,222,227,217,4.974095,24.723053,9.04
0.009060,222,227,217,6.283067,32.113075,9.23
0.009775,222,227,217,5.823331,36.855459,9.27
0.009060,222,227,217,6.283067,36.353350,9.04
0.010014,222,227,217,5.684680,25.731087,9.04
0.012398,222,227,217,4.591472,47.655582,9.29
0.009060,222,227,217,6.283067,39.324760,9.04
0.010490,222,227,217,5.426285,61.141253,9.23
0.009537,222,227,217,5.968914,41.771412,9.23
0.008821,222,227,217,6.452880,41.999817,9.04
0.024319,222,227,217,2.340751,38.732290,9.04
0.009298,222,227,217,6.121963,36.621094,9.04
0.016928,222,227,217,3.362768,28.580427,9.22
0.029325,222,227,217,1.941110,62.177181,9.04
0.011206,222,227,217,5.079927,161.298990,9.04
0.009060,222,227,217,6.283067,36.588907,9.04
0.010252,222,227,217,5.552478,44.768095,9.03
0.009537,222,227,217,5.968914,35.628557,9.04
0.009298,222,227,217,6.121963,34.707069,9.03
0.010490,222,227,217,5.426285,22.240400,9.04
0.009060,222,227,217,6.283067,32.353401,9.03
0.009060,222,227,217,6.283067,34.259558,9.04
0.016928,222,227,217,3.362768,184.386730,9.23
0.009537,222,227,217,5.968914,34.426212,9.04
0.009060,222,227,217,6.283067,33.892632,9.22
0.016689,222,227,217,3.410808,53.707838,9.04
0.014782,222,227,217,3.850912,40.883541,9.04
0.009537,222,227,217,5.968914,35.071135,9.04
0.010014,222,227,217,5.684680,33.335924,9.27
0.010014,222,227,217,5.684680,32.310963,9.04
0.025034,222,227,217,2.273872,33.524036,9.04
0.013828,222,227,217,4.116492,35.904169,9.23
0.017166,222,227,217,3.316063,69.618702,9.22
0.015974,222,227,217,3.563531,35.969019,9.23
0.010252,222,227,217,5.552478,75.062752,9.04
0.025272,222,227,217,2.252420,291.322708,9.22
0.009060,222,227,217,6.283067,64.709425,9.29
0.009537,222,227,217,5.968914,33.348322,9.04
0.009537,222,227,217,5.968914,75.287819,9.23
0.016212,222,227,217,3.511126,24.101734,9.04
0.009537,222,227,217,5.968914,33.525467,9.04
0.014067,222,227,217,4.046721,37.303925,9.21
0.009775,222,227,217,5.823331,31.938553,9.05
0.009060,222,227,217,6.283067,33.922195,9.05
0.014067,222,227,217,4.046721,33.272505,9.23
0.009060,222,227,217,6.283067,33.582449,9.04
0.009298,222,227,217,6.121963,33.471107,9.23
0.010967,222,227,217,5.190360,34.930468,9.05
0.025988,222,227,217,2.190427,33.241987,9.23
0.016451,222,227,217,3.460240,47.830820,9.23
0.009298,222,227,217,6.121963,35.201073,9.04
0.008821,222,227,217,6.452880,34.322977,9.29
0.009537,222,227,217,5.968914,39.480209,9.28
0.009298,222,227,217,6.121963,37.485123,9.22
0.017166,222,227,217,3.316063,65.731525,9.04
0.041962,222,227,217,1.356571,155.965328,9.23
0.009060,222,227,217,6.283067,48.114538,9.04
0.010729,222,227,217,5.305701,26.895285,9.05
0.018835,222,227,217,3.022235,186.126947,9.23
0.009775,222,227,217,5.823331,36.998749,9.04
0.009537,222,227,217,5.968914,36.231041,9.04
0.010014,222,227,217,5.684680,34.812450,9.29
0.012636,222,227,217,4.504841,38.857698,9.28
0.009775,222,227,217,5.823331,34.393787,9.03
0.009775,222,227,217,5.823331,30.755758,9.21
0.017405,222,227,217,3.270638,153.806686,9.23
0.009060,222,227,217,6.283067,33.778906,9.22
0.009060,222,227,217,6.283067,23.536205,9.04
0.014782,222,227,217,3.850912,96.916676,9.05
0.009537,222,227,217,5.968914,37.858009,9.04
# End of Execution
