# Execution with input file: fd12.mtx, NPROCS: 8, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.009298,3557,3564,3551,6.121963,36.369801
0.009298,3557,3564,3551,6.121963,14.446735
0.009537,3557,3564,3551,5.968914,15.230417
0.009537,3557,3564,3551,5.968914,14.824867
0.009775,3557,3564,3551,5.823331,15.347242
0.009298,3557,3564,3551,6.121963,15.267372
0.009298,3557,3564,3551,6.121963,15.938759
0.009298,3557,3564,3551,6.121963,15.860319
0.009298,3557,3564,3551,6.121963,15.256405
0.009537,3557,3564,3551,5.968914,15.158892
0.009298,3557,3564,3551,6.121963,15.282869
0.009060,3557,3564,3551,6.283067,14.432192
0.009060,3557,3564,3551,6.283067,15.080214
0.009060,3557,3564,3551,6.283067,15.071392
0.009298,3557,3564,3551,6.121963,15.196085
0.009298,3557,3564,3551,6.121963,14.688730
0.009060,3557,3564,3551,6.283067,15.180349
0.009298,3557,3564,3551,6.121963,15.400171
0.009060,3557,3564,3551,6.283067,14.625072
0.009298,3557,3564,3551,6.121963,15.560865
0.009298,3557,3564,3551,6.121963,14.955997
0.009537,3557,3564,3551,5.968914,15.696526
0.009298,3557,3564,3551,6.121963,14.971972
0.009298,3557,3564,3551,6.121963,15.576839
0.009298,3557,3564,3551,6.121963,14.128208
0.009537,3557,3564,3551,5.968914,15.787601
0.009537,3557,3564,3551,5.968914,15.402555
0.009060,3557,3564,3551,6.283067,14.297009
0.009060,3557,3564,3551,6.283067,14.353991
0.009298,3557,3564,3551,6.121963,14.901638
0.009298,3557,3564,3551,6.121963,15.358925
0.009298,3557,3564,3551,6.121963,15.332937
0.009298,3557,3564,3551,6.121963,14.066219
0.009298,3557,3564,3551,6.121963,15.186310
0.009298,3557,3564,3551,6.121963,15.509129
0.009060,3557,3564,3551,6.283067,14.657259
0.009298,3557,3564,3551,6.121963,15.039682
0.009298,3557,3564,3551,6.121963,15.067816
0.009298,3557,3564,3551,6.121963,15.276194
0.009298,3557,3564,3551,6.121963,14.843941
0.009298,3557,3564,3551,6.121963,14.578104
0.009537,3557,3564,3551,5.968914,15.568733
0.009298,3557,3564,3551,6.121963,14.614582
0.009298,3557,3564,3551,6.121963,14.684439
0.009298,3557,3564,3551,6.121963,14.335871
0.009060,3557,3564,3551,6.283067,14.807701
0.009298,3557,3564,3551,6.121963,16.006708
0.009537,3557,3564,3551,5.968914,15.493155
0.009298,3557,3564,3551,6.121963,15.541792
0.009298,3557,3564,3551,6.121963,14.024019
0.009537,3557,3564,3551,5.968914,15.558004
0.009060,3557,3564,3551,6.283067,14.136791
0.009298,3557,3564,3551,6.121963,15.410662
0.009298,3557,3564,3551,6.121963,15.114069
0.009298,3557,3564,3551,6.121963,14.577627
0.009298,3557,3564,3551,6.121963,14.168501
0.009060,3557,3564,3551,6.283067,14.581442
0.009060,3557,3564,3551,6.283067,16.169786
0.009298,3557,3564,3551,6.121963,14.736414
0.009298,3557,3564,3551,6.121963,15.973568
0.009298,3557,3564,3551,6.121963,15.439749
0.009298,3557,3564,3551,6.121963,15.519619
0.013828,3557,3564,3551,4.116492,15.594244
0.009537,3557,3564,3551,5.968914,15.643120
0.009298,3557,3564,3551,6.121963,16.314030
0.009298,3557,3564,3551,6.121963,15.737772
0.009298,3557,3564,3551,6.121963,14.485836
0.009298,3557,3564,3551,6.121963,15.547276
0.009298,3557,3564,3551,6.121963,14.424086
0.009060,3557,3564,3551,6.283067,15.158415
0.009060,3557,3564,3551,6.283067,13.469934
0.009298,3557,3564,3551,6.121963,14.928818
0.009298,3557,3564,3551,6.121963,15.778303
0.009537,3557,3564,3551,5.968914,15.454769
0.009298,3557,3564,3551,6.121963,14.192343
0.009060,3557,3564,3551,6.283067,14.529705
0.009298,3557,3564,3551,6.121963,14.465809
0.009298,3557,3564,3551,6.121963,15.434742
0.009298,3557,3564,3551,6.121963,15.226126
0.009298,3557,3564,3551,6.121963,14.918566
0.009060,3557,3564,3551,6.283067,14.175415
0.009775,3557,3564,3551,5.823331,14.450312
0.009298,3557,3564,3551,6.121963,14.654875
0.009060,3557,3564,3551,6.283067,15.669823
0.009060,3557,3564,3551,6.283067,14.789104
0.009298,3557,3564,3551,6.121963,15.577316
0.009298,3557,3564,3551,6.121963,14.777422
0.008821,3557,3564,3551,6.452880,14.600277
0.009298,3557,3564,3551,6.121963,14.883995
0.009775,3557,3564,3551,5.823331,15.387297
0.009060,3557,3564,3551,6.283067,14.220715
0.009537,3557,3564,3551,5.968914,14.945269
0.009060,3557,3564,3551,6.283067,13.595581
0.009298,3557,3564,3551,6.121963,14.882803
0.009775,3557,3564,3551,5.823331,13.803482
0.008821,3557,3564,3551,6.452880,14.533281
0.009298,3557,3564,3551,6.121963,15.495539
0.009298,3557,3564,3551,6.121963,14.511108
0.009537,3557,3564,3551,5.968914,15.713930
0.009060,3557,3564,3551,6.283067,14.561653
# End of Execution
