# Execution with input file: fd12.mtx, NPROCS: 16, SELECTED MODE: 2D BLOCK PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.004053,1897,4500,46,14.044504,15.415907,8.70
0.004053,1897,4500,46,14.044504,15.382528,8.69
0.003815,1897,4500,46,14.922285,15.237093,8.70
0.004053,1897,4500,46,14.044504,15.691519,8.70
0.004053,1897,4500,46,14.044504,15.359640,8.70
0.004530,1897,4500,46,12.566135,15.455008,8.70
0.004053,1897,4500,46,14.044504,14.921904,8.70
0.003815,1897,4500,46,14.922285,15.402317,8.70
0.004053,1897,4500,46,14.044504,14.863491,8.70
0.004292,1897,4500,46,13.264253,15.266895,8.70
0.003815,1897,4500,46,14.922285,15.340328,8.69
0.004053,1897,4500,46,14.044504,15.304089,8.70
0.004053,1897,4500,46,14.044504,15.304565,8.70
0.004053,1897,4500,46,14.044504,15.499830,8.70
0.003815,1897,4500,46,14.922285,16.544580,8.70
0.004053,1897,4500,46,14.044504,15.323877,8.70
0.004053,1897,4500,46,14.044504,15.249014,8.70
0.003815,1897,4500,46,14.922285,15.368223,8.70
0.004053,1897,4500,46,14.044504,14.863014,8.70
0.003815,1897,4500,46,14.922285,15.137911,8.69
0.004053,1897,4500,46,14.044504,15.432119,8.70
0.004053,1897,4500,46,14.044504,14.957428,8.70
0.004053,1897,4500,46,14.044504,15.408993,8.70
0.004053,1897,4500,46,14.044504,15.335083,8.70
0.004053,1897,4500,46,14.044504,14.808416,8.70
0.004053,1897,4500,46,14.044504,15.292406,8.70
0.004053,1897,4500,46,14.044504,15.440464,8.70
0.004053,1897,4500,46,14.044504,15.458584,8.70
0.004053,1897,4500,46,14.044504,14.741421,8.70
0.004053,1897,4500,46,14.044504,15.464306,8.70
0.004053,1897,4500,46,14.044504,14.860153,8.70
0.004053,1897,4500,46,14.044504,15.338421,8.70
0.003815,1897,4500,46,14.922285,15.392780,8.66
0.004053,1897,4500,46,14.044504,15.425444,8.69
0.006676,1897,4500,46,8.527020,15.319586,8.70
0.003815,1897,4500,46,14.922285,14.883757,8.69
0.004053,1897,4500,46,14.044504,15.344858,8.70
0.003815,1897,4500,46,14.922285,14.950991,8.70
0.004053,1897,4500,46,14.044504,15.270710,8.70
0.004053,1897,4500,46,14.044504,15.449047,8.70
0.003815,1897,4500,46,14.922285,15.028715,8.70
0.004292,1897,4500,46,13.264253,15.414953,8.70
0.004292,1897,4500,46,13.264253,15.413761,8.70
0.004053,1897,4500,46,14.044504,15.540838,8.70
0.003815,1897,4500,46,14.922285,14.945984,8.70
0.004053,1897,4500,46,14.044504,15.218258,8.70
0.004053,1897,4500,46,14.044504,14.949322,8.70
0.004053,1897,4500,46,14.044504,15.390635,8.69
0.004053,1897,4500,46,14.044504,15.010357,8.70
0.003815,1897,4500,46,14.922285,14.919996,8.69
0.003815,1897,4500,46,14.922285,14.970064,8.69
0.004053,1897,4500,46,14.044504,15.336752,8.70
0.003815,1897,4500,46,14.922285,15.278101,8.70
0.004292,1897,4500,46,13.264253,14.890194,8.70
0.004292,1897,4500,46,13.264253,14.844894,8.70
0.004053,1897,4500,46,14.044504,15.515089,8.70
0.004053,1897,4500,46,14.044504,15.286922,8.70
0.004053,1897,4500,46,14.044504,14.964342,8.70
0.004053,1897,4500,46,14.044504,15.207291,8.70
0.004053,1897,4500,46,14.044504,15.439272,8.70
0.004053,1897,4500,46,14.044504,15.112638,8.66
0.004053,1897,4500,46,14.044504,15.379667,8.70
0.004053,1897,4500,46,14.044504,15.396595,8.70
0.003815,1897,4500,46,14.922285,15.384436,8.70
0.003815,1897,4500,46,14.922285,15.337229,8.70
0.004053,1897,4500,46,14.044504,15.483856,8.70
0.003815,1897,4500,46,14.922285,15.341997,8.70
0.004053,1897,4500,46,14.044504,14.884472,8.70
0.004292,1897,4500,46,13.264253,15.280008,8.70
