# Execution with input file: fd12.mtx, NPROCS: 2, SELECTED MODE: 2D BLOCK PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.020981,28462,28462,28462,2.713143,52.206039
0.020504,28462,28462,28462,2.776239,53.534031
0.020504,28462,28462,28462,2.776239,56.680918
0.020266,28462,28462,28462,2.808901,51.420212
0.020504,28462,28462,28462,2.776239,50.937653
0.020266,28462,28462,28462,2.808901,52.330494
0.020504,28462,28462,28462,2.776239,53.723097
0.020504,28462,28462,28462,2.776239,50.945520
0.020981,28462,28462,28462,2.713143,51.144361
0.020504,28462,28462,28462,2.776239,52.322626
0.020504,28462,28462,28462,2.776239,52.648306
0.020504,28462,28462,28462,2.776239,51.077604
0.020266,28462,28462,28462,2.808901,51.012039
0.020266,28462,28462,28462,2.808901,54.598808
0.020266,28462,28462,28462,2.808901,52.499294
0.021219,28462,28462,28462,2.682658,50.795078
0.020266,28462,28462,28462,2.808901,52.011013
0.020504,28462,28462,28462,2.776239,51.725388
0.020742,28462,28462,28462,2.744328,50.876617
0.020504,28462,28462,28462,2.776239,51.984549
0.020504,28462,28462,28462,2.776239,51.082850
0.020504,28462,28462,28462,2.776239,50.996065
0.020266,28462,28462,28462,2.808901,52.893400
0.020504,28462,28462,28462,2.776239,54.438353
0.020266,28462,28462,28462,2.808901,55.891991
0.020504,28462,28462,28462,2.776239,50.783396
0.020027,28462,28462,28462,2.842340,50.762177
0.020504,28462,28462,28462,2.776239,52.566290
0.020742,28462,28462,28462,2.744328,50.929308
0.020504,28462,28462,28462,2.776239,50.722837
0.021219,28462,28462,28462,2.682658,52.978039
0.021696,28462,28462,28462,2.623698,52.077770
0.023365,28462,28462,28462,2.436291,51.598310
0.020504,28462,28462,28462,2.776239,50.745964
0.020504,28462,28462,28462,2.776239,50.853968
0.020266,28462,28462,28462,2.808901,53.279400
0.020266,28462,28462,28462,2.808901,51.201582
0.020742,28462,28462,28462,2.744328,51.106453
0.020742,28462,28462,28462,2.744328,50.803185
0.020266,28462,28462,28462,2.808901,51.610947
0.020504,28462,28462,28462,2.776239,54.879665
0.020742,28462,28462,28462,2.744328,54.753542
0.020742,28462,28462,28462,2.744328,50.980091
0.020504,28462,28462,28462,2.776239,51.434517
0.020742,28462,28462,28462,2.744328,50.731421
0.020504,28462,28462,28462,2.776239,55.776596
0.020504,28462,28462,28462,2.776239,52.358389
0.020504,28462,28462,28462,2.776239,52.661419
0.020742,28462,28462,28462,2.744328,51.064491
0.020504,28462,28462,28462,2.776239,51.580429
0.020742,28462,28462,28462,2.744328,50.968409
0.020504,28462,28462,28462,2.776239,51.851988
0.020742,28462,28462,28462,2.744328,51.681995
0.020504,28462,28462,28462,2.776239,51.453829
0.020504,28462,28462,28462,2.776239,50.998688
0.020504,28462,28462,28462,2.776239,50.928116
0.020742,28462,28462,28462,2.744328,51.291227
0.021458,28462,28462,28462,2.652851,50.951242
0.020504,28462,28462,28462,2.776239,50.806284
0.020504,28462,28462,28462,2.776239,50.878525
0.022650,28462,28462,28462,2.513227,52.611113
0.020504,28462,28462,28462,2.776239,50.902843
0.021696,28462,28462,28462,2.623698,52.792549
0.020742,28462,28462,28462,2.744328,52.205324
0.020742,28462,28462,28462,2.744328,51.446199
0.020504,28462,28462,28462,2.776239,51.224947
0.020504,28462,28462,28462,2.776239,51.579237
0.020504,28462,28462,28462,2.776239,51.954985
0.020266,28462,28462,28462,2.808901,54.693937
0.025511,28462,28462,28462,2.231370,51.489830
0.020504,28462,28462,28462,2.776239,51.110983
0.020742,28462,28462,28462,2.744328,55.838823
0.020504,28462,28462,28462,2.776239,54.260254
0.020504,28462,28462,28462,2.776239,54.710627
0.021696,28462,28462,28462,2.623698,52.021027
0.020742,28462,28462,28462,2.744328,51.235437
0.021458,28462,28462,28462,2.652851,53.894043
0.020504,28462,28462,28462,2.776239,52.474260
0.020504,28462,28462,28462,2.776239,51.786900
0.020504,28462,28462,28462,2.776239,53.239346
0.020742,28462,28462,28462,2.744328,51.276922
0.020742,28462,28462,28462,2.744328,51.371813
0.020742,28462,28462,28462,2.744328,50.960779
0.020742,28462,28462,28462,2.744328,53.619623
0.020504,28462,28462,28462,2.776239,51.941872
0.020266,28462,28462,28462,2.808901,51.195383
0.021935,28462,28462,28462,2.595180,53.415775
0.020981,28462,28462,28462,2.713143,50.824642
0.020504,28462,28462,28462,2.776239,50.790310
0.020504,28462,28462,28462,2.776239,50.895214
0.020504,28462,28462,28462,2.776239,50.877094
0.020981,28462,28462,28462,2.713143,50.855637
0.020266,28462,28462,28462,2.808901,53.490400
0.020981,28462,28462,28462,2.713143,52.165985
0.020266,28462,28462,28462,2.808901,52.171469
0.020504,28462,28462,28462,2.776239,51.026344
0.020266,28462,28462,28462,2.808901,51.269531
0.020504,28462,28462,28462,2.776239,54.056883
0.020504,28462,28462,28462,2.776239,51.272392
0.020504,28462,28462,28462,2.776239,53.759575
# End of Execution
