# Execution with input file: fd12.mtx, NPROCS: 1, SELECTED MODE: SEQUENTIAL EXECUTION
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.039724,28462,28462,28462,0.000057,0,7.68
0.039062,28462,28462,28462,0.000057,0,7.68
0.037895,28462,28462,28462,0.000057,0,7.68
0.040163,28462,28462,28462,0.000057,0,7.68
0.039322,28462,28462,28462,0.000057,0,7.68
0.039825,28462,28462,28462,0.000057,0,7.68
0.039762,28462,28462,28462,0.000057,0,7.68
0.039892,28462,28462,28462,0.000057,0,7.68
0.036180,28462,28462,28462,0.000057,0,7.68
0.037060,28462,28462,28462,0.000057,0,7.69
0.038584,28462,28462,28462,0.000057,0,7.68
0.036531,28462,28462,28462,0.000057,0,7.68
0.041416,28462,28462,28462,0.000057,0,7.69
0.040550,28462,28462,28462,0.000057,0,7.68
0.040737,28462,28462,28462,0.000057,0,7.68
0.038088,28462,28462,28462,0.000057,0,7.68
0.038061,28462,28462,28462,0.000057,0,7.69
0.040113,28462,28462,28462,0.000057,0,7.68
0.039110,28462,28462,28462,0.000057,0,7.68
0.038952,28462,28462,28462,0.000057,0,7.69
0.040524,28462,28462,28462,0.000057,0,7.68
0.039534,28462,28462,28462,0.000057,0,7.68
0.038652,28462,28462,28462,0.000057,0,7.68
0.039898,28462,28462,28462,0.000057,0,7.69
0.040602,28462,28462,28462,0.000057,0,7.69
0.041204,28462,28462,28462,0.000057,0,7.68
0.041269,28462,28462,28462,0.000057,0,7.68
0.041763,28462,28462,28462,0.000057,0,7.68
0.040081,28462,28462,28462,0.000057,0,7.68
0.051935,28462,28462,28462,0.000057,0,7.68
0.038540,28462,28462,28462,0.000057,0,7.68
0.038137,28462,28462,28462,0.000057,0,7.68
0.040529,28462,28462,28462,0.000057,0,7.68
0.040968,28462,28462,28462,0.000057,0,7.68
0.042845,28462,28462,28462,0.000057,0,7.68
0.040434,28462,28462,28462,0.000057,0,7.68
0.039888,28462,28462,28462,0.000057,0,7.68
0.037466,28462,28462,28462,0.000057,0,7.69
0.036428,28462,28462,28462,0.000057,0,7.68
0.037426,28462,28462,28462,0.000057,0,7.69
0.037663,28462,28462,28462,0.000057,0,7.68
0.040150,28462,28462,28462,0.000057,0,7.68
0.036942,28462,28462,28462,0.000057,0,7.68
0.040306,28462,28462,28462,0.000057,0,7.69
0.038891,28462,28462,28462,0.000057,0,7.68
0.040590,28462,28462,28462,0.000057,0,7.69
0.035122,28462,28462,28462,0.000057,0,9.75
0.040216,28462,28462,28462,0.000057,0,7.68
0.042521,28462,28462,28462,0.000057,0,7.68
0.053261,28462,28462,28462,0.000057,0,7.68
0.035278,28462,28462,28462,0.000057,0,7.68
0.041193,28462,28462,28462,0.000057,0,7.68
0.038893,28462,28462,28462,0.000057,0,9.75
0.039705,28462,28462,28462,0.000057,0,7.69
0.038403,28462,28462,28462,0.000057,0,7.68
0.034807,28462,28462,28462,0.000057,0,7.68
0.038609,28462,28462,28462,0.000057,0,7.68
0.037163,28462,28462,28462,0.000057,0,7.68
0.038469,28462,28462,28462,0.000057,0,7.69
0.039036,28462,28462,28462,0.000057,0,7.68
0.037813,28462,28462,28462,0.000057,0,9.75
0.035553,28462,28462,28462,0.000057,0,9.75
0.038212,28462,28462,28462,0.000057,0,7.68
0.037575,28462,28462,28462,0.000057,0,7.68
0.039722,28462,28462,28462,0.000057,0,9.75
0.036507,28462,28462,28462,0.000057,0,7.68
0.037552,28462,28462,28462,0.000057,0,7.69
0.040461,28462,28462,28462,0.000057,0,7.68
0.037611,28462,28462,28462,0.000057,0,7.68
0.041613,28462,28462,28462,0.000057,0,7.68
0.040047,28462,28462,28462,0.000057,0,9.56
0.042870,28462,28462,28462,0.000057,0,7.68
0.043032,28462,28462,28462,0.000057,0,7.68
0.054802,28462,28462,28462,0.000057,0,7.69
0.041651,28462,28462,28462,0.000057,0,7.68
0.038923,28462,28462,28462,0.000057,0,7.69
0.035803,28462,28462,28462,0.000057,0,7.68
0.039404,28462,28462,28462,0.000057,0,7.68
0.040594,28462,28462,28462,0.000057,0,7.69
0.040403,28462,28462,28462,0.000057,0,7.68
0.039331,28462,28462,28462,0.000057,0,7.69
0.041279,28462,28462,28462,0.000057,0,7.68
0.049706,28462,28462,28462,0.000057,0,7.69
0.040514,28462,28462,28462,0.000057,0,7.68
0.040945,28462,28462,28462,0.000057,0,7.68
0.038803,28462,28462,28462,0.000057,0,7.68
0.039337,28462,28462,28462,0.000057,0,7.68
0.040297,28462,28462,28462,0.000057,0,7.68
0.040154,28462,28462,28462,0.000057,0,7.69
0.041288,28462,28462,28462,0.000057,0,7.68
0.038349,28462,28462,28462,0.000057,0,7.68
0.038216,28462,28462,28462,0.000057,0,7.68
0.040901,28462,28462,28462,0.000057,0,7.68
0.042370,28462,28462,28462,0.000057,0,7.68
0.038343,28462,28462,28462,0.000057,0,7.68
0.040806,28462,28462,28462,0.000057,0,7.69
0.039736,28462,28462,28462,0.000057,0,7.68
0.040813,28462,28462,28462,0.000057,0,7.68
0.040098,28462,28462,28462,0.000057,0,7.68
0.039789,28462,28462,28462,0.000057,0,7.69
# End of Execution
