# Execution with input file: hugetric-00000.mtx, NPROCS: 32, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
29.087782,545845,545876,545824,1.200989,3478.305101
29.109240,545845,545876,545824,1.200103,3402.494431
28.796911,545845,545876,545824,1.213119,3429.016352
29.001474,545845,545876,545824,1.204563,3473.524094
29.592752,545845,545876,545824,1.180495,3448.116779
29.042006,545845,545876,545824,1.202882,3434.208393
29.848814,545845,545876,545824,1.170368,3448.267460
29.538631,545845,545876,545824,1.182658,3392.231464
28.767824,545845,545876,545824,1.214346,3409.574509
28.706312,545845,545876,545824,1.216948,3421.754837
28.942823,545845,545876,545824,1.207004,3434.369087
29.773235,545845,545876,545824,1.173339,3403.568745
29.225349,545845,545876,545824,1.195335,3422.173977
29.140949,545845,545876,545824,1.198797,3431.509018
