# Execution with input file: hugetric-00000.mtx, NPROCS: 32, SELECTED MODE: 2D BLOCK PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
5.130529,563453,563563,563180,6.809062,47417.815208
5.100727,563453,563563,563180,6.848846,47508.720636
5.268097,563453,563563,563180,6.631255,47474.529028
5.233049,563453,563563,563180,6.675666,47755.575180
5.174875,563453,563563,563180,6.750712,47904.819250
5.368948,563453,563563,563180,6.506692,47995.324850
5.205631,563453,563563,563180,6.710827,48061.990499
5.246401,563453,563563,563180,6.658678,48076.447010
5.309582,563453,563563,563180,6.579443,48264.369249
5.141973,563453,563563,563180,6.793907,48308.281422
5.069971,563453,563563,563180,6.890393,48081.977129
5.209923,563453,563563,563180,6.705299,48024.168968
5.176544,563453,563563,563180,6.748535,47968.417645
5.375862,563453,563563,563180,6.498324,47993.944407
5.300522,563453,563563,563180,6.590689,48040.514946
5.398512,563453,563563,563180,6.471060,48086.204767
5.094767,563453,563563,563180,6.856858,47942.538738
5.198717,563453,563563,563180,6.719752,47900.966167
5.176067,563453,563563,563180,6.749157,48028.587341
5.086422,563453,563563,563180,6.868107,47975.787163
5.077362,563453,563563,563180,6.880363,48165.233135
5.021095,563453,563563,563180,6.957464,47965.238094
5.366802,563453,563563,563180,6.509294,47971.369267
5.396366,563453,563563,563180,6.473633,48023.649931
5.126238,563453,563563,563180,6.814762,48036.805630
5.403280,563453,563563,563180,6.465349,48091.556549
5.000591,563453,563563,563180,6.985992,48195.853233
5.473852,563453,563563,563180,6.381994,47827.806711
5.387783,563453,563563,563180,6.483946,48025.716066
5.183458,563453,563563,563180,6.739534,48152.546883
5.464792,563453,563563,563180,6.392575,48038.246393
5.047083,563453,563563,563180,6.921640,47953.180075
5.120754,563453,563563,563180,6.822060,48024.861336
5.004644,563453,563563,563180,6.980335,48090.126753
5.445480,563453,563563,563180,6.415245,47978.269339
5.344629,563453,563563,563180,6.536298,48008.968830
5.429268,563453,563563,563180,6.434402,48097.975254
5.367756,563453,563563,563180,6.508137,48034.604311
5.326271,563453,563563,563180,6.558827,48026.004553
5.420208,563453,563563,563180,6.445157,47821.512699
5.283117,563453,563563,563180,6.612401,48018.005848
5.033255,563453,563563,563180,6.940657,48041.313410
5.211830,563453,563563,563180,6.702845,48181.292057
5.200863,563453,563563,563180,6.716980,47957.321405
5.199909,563453,563563,563180,6.718212,48099.926472
5.028248,563453,563563,563180,6.947568,47988.747597
5.057573,563453,563563,563180,6.907283,48084.505558
5.020857,563453,563563,563180,6.957795,48041.910410
5.185843,563453,563563,563180,6.736435,47933.060169
5.138397,563453,563563,563180,6.798636,48000.754118
5.147457,563453,563563,563180,6.786670,48027.422667
5.409479,563453,563563,563180,6.457940,48085.815430
5.490780,563453,563563,563180,6.362319,47968.078136
5.124569,563453,563563,563180,6.816982,47891.614676
5.090475,563453,563563,563180,6.862639,48098.459482
5.036354,563453,563563,563180,6.936385,48051.515341
5.118847,563453,563563,563180,6.824602,48164.187908
5.054951,563453,563563,563180,6.910867,48027.725697
5.048752,563453,563563,563180,6.919352,48047.390223
5.166054,563453,563563,563180,6.762239,47935.182095
5.322218,563453,563563,563180,6.563822,48072.256327
5.242109,563453,563563,563180,6.664129,47929.401636
5.016804,563453,563563,563180,6.963416,48116.006613
5.197287,563453,563563,563180,6.721602,48050.151348
5.136013,563453,563563,563180,6.801792,48087.419033
5.118847,563453,563563,563180,6.824602,48001.728058
5.168200,563453,563563,563180,6.759432,47966.470718
5.164623,563453,563563,563180,6.764112,48040.941715
5.097389,563453,563563,563180,6.853330,48058.604717
5.193949,563453,563563,563180,6.725922,48099.178553
5.421400,563453,563563,563180,6.443740,48133.785486
5.426645,563453,563563,563180,6.437512,48062.453747
5.053520,563453,563563,563180,6.912823,48010.268211
5.073309,563453,563563,563180,6.885859,48080.614090
5.141735,563453,563563,563180,6.794222,48087.878942
5.335808,563453,563563,563180,6.547105,47922.639608
4.995108,563453,563563,563180,6.993661,47890.703440
5.057096,563453,563563,563180,6.907935,48002.572060
5.069733,563453,563563,563180,6.890717,48042.107344
5.219698,563453,563563,563180,6.692742,48077.691793
5.068779,563453,563563,563180,6.892013,48051.337719
5.178213,563453,563563,563180,6.746360,47941.956997
5.405188,563453,563563,563180,6.463067,48027.850628
10.463953,563453,563563,563180,3.338518,48054.720879
5.105734,563453,563563,563180,6.842129,48145.586729
5.214214,563453,563563,563180,6.699781,48013.072729
5.369663,563453,563563,563180,6.505825,48156.113863
5.338192,563453,563563,563180,6.544181,48131.971836
5.348921,563453,563563,563180,6.531054,47935.177803
5.257845,563453,563563,563180,6.644185,48007.066727
5.280495,563453,563563,563180,6.615685,47910.686970
5.420446,563453,563563,563180,6.444874,47929.059505
5.451679,563453,563563,563180,6.407951,48072.514534
5.359650,563453,563563,563180,6.517981,47996.186972
5.004406,563453,563563,563180,6.980667,47989.800453
5.088329,563453,563563,563180,6.865533,48029.599428
4.992485,563453,563563,563180,6.997335,48131.821632
5.161524,563453,563563,563180,6.768174,47987.103462
5.342484,563453,563563,563180,6.538924,48101.193428
5.146503,563453,563563,563180,6.787927,48001.237869
# End of Execution
