# Execution with input file: human_gene2.mtx, NPROCS: 8, SELECTED MODE: 1D BLOCK PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
8.332729,2581198,3304401,1867769,4.336727,5221.881866,438.30
9.052515,2581198,3304401,1867769,3.991905,5197.784185,438.30
8.958340,2581198,3304401,1867769,4.033870,5190.955877,438.30
8.972168,2581198,3304401,1867769,4.027653,5203.959465,438.29
9.025812,2581198,3304401,1867769,4.003715,5229.194880,438.30
8.311749,2581198,3304401,1867769,4.347674,5188.635826,438.30
9.038210,2581198,3304401,1867769,3.998223,5142.060518,441.91
8.950472,2581198,3304401,1867769,4.037416,5191.268444,438.30
9.103060,2581198,3304401,1867769,3.969740,5171.854496,438.30
9.082079,2581198,3304401,1867769,3.978910,5190.312624,438.30
8.955479,2581198,3304401,1867769,4.035159,5221.517086,438.30
9.026766,2581198,3304401,1867769,4.003292,5238.312244,438.30
9.044886,2581198,3304401,1867769,3.995272,5130.174160,442.40
9.045601,2581198,3304401,1867769,3.994956,5227.893353,438.30
9.033442,2581198,3304401,1867769,4.000333,5205.397844,438.30
9.045601,2581198,3304401,1867769,3.994956,5209.019661,438.30
9.055376,2581198,3304401,1867769,3.990643,5188.713789,438.30
8.316755,2581198,3304401,1867769,4.345057,5200.679541,438.30
8.976460,2581198,3304401,1867769,4.025727,5196.452379,438.30
9.019136,2581198,3304401,1867769,4.006678,5192.687035,444.59
8.994102,2581198,3304401,1867769,4.017830,5125.578642,441.45
8.336306,2581198,3304401,1867769,4.334867,5082.611084,443.60
8.988857,2581198,3304401,1867769,4.020175,5209.443331,438.30
7.580280,2581198,3304401,1867769,4.767208,5193.568945,438.29
9.015799,2581198,3304401,1867769,4.008161,5138.046265,442.07
9.047747,2581198,3304401,1867769,3.994008,5199.871063,438.30
8.282900,2581198,3304401,1867769,4.362817,5167.580605,442.85
9.003401,2581198,3304401,1867769,4.013681,5216.487885,438.30
8.237123,2581198,3304401,1867769,4.387063,5192.039490,438.30
9.060383,2581198,3304401,1867769,3.988438,5239.369392,443.24
9.002924,2581198,3304401,1867769,4.013893,5239.766598,438.30
8.989334,2581198,3304401,1867769,4.019961,5197.535515,438.30
7.593870,2581198,3304401,1867769,4.758677,5195.873976,438.30
9.095192,2581198,3304401,1867769,3.973174,5196.562767,438.30
9.077549,2581198,3304401,1867769,3.980896,5181.662321,438.30
