# Execution with input file: human_gene2.mtx, NPROCS: 128, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.916481,141159,173147,98369,39.429923,5340.039968,738.11
0.861883,141159,173147,98369,41.927697,5445.739746,738.69
1.201868,141159,173147,98369,30.067174,5373.503923,739.66
1.504421,141159,173147,98369,24.020384,5426.481009,739.04
1.055717,141159,173147,98369,34.229590,5410.720110,739.68
0.785828,141159,173147,98369,45.985626,5583.859921,739.17
1.071930,141159,173147,98369,33.711883,5419.759750,739.68
0.783205,141159,173147,98369,46.139612,5512.072325,737.80
0.996113,141159,173147,98369,36.277794,5649.817944,737.73
1.086950,141159,173147,98369,33.246024,5465.190649,738.11
0.888348,141159,173147,98369,40.678643,5561.390877,739.00
1.084805,141159,173147,98369,33.311786,5441.104650,738.29
0.918865,141159,173147,98369,39.327614,5694.877386,738.02
0.883341,141159,173147,98369,40.909210,5629.613638,739.07
0.822306,141159,173147,98369,43.945672,5682.665825,739.41
1.021147,141159,173147,98369,35.388425,5627.711535,738.00
1.680851,141159,173147,98369,21.499096,5912.657022,738.86
1.034021,141159,173147,98369,34.947804,5479.092360,739.46
2.258301,141159,173147,98369,16.001755,5564.481258,739.14
0.940084,141159,173147,98369,38.439925,5963.458538,739.55
0.873566,141159,173147,98369,41.366983,6077.120543,737.92
1.070023,141159,173147,98369,33.771975,5525.079966,738.15
2.195835,141159,173147,98369,16.456962,5756.414413,739.48
0.947952,141159,173147,98369,38.120881,5737.498522,738.29
0.866413,141159,173147,98369,41.708482,6204.746723,738.17
0.946283,141159,173147,98369,38.188114,5735.224009,739.08
0.835896,141159,173147,98369,43.231211,6401.314974,738.89
0.867844,141159,173147,98369,41.639732,6091.871023,739.15
1.272202,141159,173147,98369,28.404915,5486.188173,738.03
1.781464,141159,173147,98369,20.284880,5505.810738,738.79
0.927925,141159,173147,98369,38.943634,5551.332712,739.51
2.010584,141159,173147,98369,17.973275,5793.069839,738.07
0.840187,141159,173147,98369,43.010393,6036.087275,738.64
1.201391,141159,173147,98369,30.079108,5518.807173,739.52
0.981092,141159,173147,98369,36.833201,5549.243450,739.57
2.689123,141159,173147,98369,13.438126,5543.251514,739.80
1.262665,141159,173147,98369,28.619453,5494.033337,739.81
0.825882,141159,173147,98369,43.755376,6044.898510,738.77
1.869917,141159,173147,98369,19.325338,5520.178795,738.54
1.058340,141159,173147,98369,34.144768,5493.764639,739.42
0.874281,141159,173147,98369,41.333140,6128.016710,739.08
1.099586,141159,173147,98369,32.863969,5505.419970,738.95
2.025127,141159,173147,98369,17.844199,5573.013783,739.42
1.297712,141159,173147,98369,27.846523,5518.167734,738.58
1.089573,141159,173147,98369,33.166001,5484.738827,739.46
0.857592,141159,173147,98369,42.137510,6184.806347,737.97
0.911474,141159,173147,98369,39.646514,5651.748657,739.50
1.101255,141159,173147,98369,32.814164,5487.311363,739.58
0.915527,141159,173147,98369,39.470996,5978.539944,739.42
1.815557,141159,173147,98369,19.903956,5515.297413,739.41
0.875950,141159,173147,98369,41.254389,6126.003027,738.85
0.847101,141159,173147,98369,42.659337,6141.035795,738.95
0.977755,141159,173147,98369,36.958943,5998.835087,739.46
1.782894,141159,173147,98369,20.268604,5605.463743,739.47
1.824856,141159,173147,98369,19.802538,5723.475218,738.18
0.807047,141159,173147,98369,44.776551,6169.588804,739.55
1.043320,141159,173147,98369,34.636340,5619.104624,739.73
1.280069,141159,173147,98369,28.230327,5465.057850,738.34
0.859022,141159,173147,98369,42.067339,6039.431810,739.07
0.797987,141159,173147,98369,45.284919,6117.973328,739.74
1.132250,141159,173147,98369,31.915903,5522.878885,738.70
1.045465,141159,173147,98369,34.565251,5507.205963,739.52
1.130342,141159,173147,98369,31.969758,5636.575699,738.45
1.101255,141159,173147,98369,32.814164,5486.848831,738.99
0.981331,141159,173147,98369,36.824253,5886.783838,738.91
0.839949,141159,173147,98369,43.022601,5584.562540,739.68
0.899792,141159,173147,98369,40.161268,5670.799732,739.49
1.860619,141159,173147,98369,19.421915,5422.115326,738.52
0.862122,141159,173147,98369,41.916102,6180.354357,737.77
1.018047,141159,173147,98369,35.496165,5870.248556,738.19
0.922918,141159,173147,98369,39.154902,5638.964653,738.91
0.941277,141159,173147,98369,38.391242,5773.505211,738.65
1.255274,141159,173147,98369,28.787963,5514.436007,738.18
1.950741,141159,173147,98369,18.524642,6233.198881,739.17
2.063513,141159,173147,98369,17.512262,5447.012901,738.92
1.764297,141159,173147,98369,20.482247,5914.439917,739.45
1.861572,141159,173147,98369,19.411965,5925.946951,738.52
0.852823,141159,173147,98369,42.373113,6235.553026,739.05
1.075268,141159,173147,98369,33.607234,5552.063227,739.55
1.966476,141159,173147,98369,18.376409,5481.738329,739.00
