# Execution with input file: human_gene2.mtx, NPROCS: 32, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
2.141714,564637,642073,503292,16.872829,5404.098988
2.163172,564637,642073,503292,16.705458,5312.132359
2.229452,564637,642073,503292,16.208814,5348.820210
2.230406,564637,642073,503292,16.201884,5355.642080
2.232313,564637,642073,503292,16.188041,5362.686396
2.235174,564637,642073,503292,16.167320,5362.314224
2.159119,564637,642073,503292,16.736818,5361.890554
2.231121,564637,642073,503292,16.196690,5337.279558
2.198935,564637,642073,503292,16.433766,5389.270782
2.220154,564637,642073,503292,16.276699,5365.117550
2.140045,564637,642073,503292,16.885988,5340.377331
2.166271,564637,642073,503292,16.681557,5368.818283
2.228498,564637,642073,503292,16.215751,5327.447414
2.242565,564637,642073,503292,16.114036,5375.961542
2.181292,564637,642073,503292,16.566688,5320.975304
2.153397,564637,642073,503292,16.781291,5367.822647
2.223969,564637,642073,503292,16.248780,5401.087046
2.215862,564637,642073,503292,16.308223,5396.031380
2.170801,564637,642073,503292,16.646746,5349.455118
2.065897,564637,642073,503292,17.492051,5315.695286
2.146006,564637,642073,503292,16.839087,5375.270605
2.068758,564637,642073,503292,17.467860,5347.047806
2.150059,564637,642073,503292,16.807344,5372.818470
2.210379,564637,642073,503292,16.348681,5336.112499
2.221584,564637,642073,503292,16.266219,5365.345955
2.220154,564637,642073,503292,16.276699,5364.901543
2.223969,564637,642073,503292,16.248780,5381.093979
5.241632,564637,642073,503292,6.894183,5424.269438
2.154827,564637,642073,503292,16.770151,5327.034950
2.228498,564637,642073,503292,16.215751,5366.821766
2.183199,564637,642073,503292,16.552214,5402.268410
2.147913,564637,642073,503292,16.824134,5391.704321
2.155066,564637,642073,503292,16.768296,5366.586924
2.150297,564637,642073,503292,16.805480,5370.322704
2.163649,564637,642073,503292,16.701777,5343.872786
2.176285,564637,642073,503292,16.604801,5405.088425
2.171278,564637,642073,503292,16.643090,5317.956209
2.156258,564637,642073,503292,16.759025,5344.381571
2.223253,564637,642073,503292,16.254008,5448.089361
2.196789,564637,642073,503292,16.449818,5349.059582
2.159119,564637,642073,503292,16.736818,5328.556061
4.768133,564637,642073,503292,7.578810,5307.700634
2.159834,564637,642073,503292,16.731275,5337.026596
2.172232,564637,642073,503292,16.635784,5338.102102
2.178907,564637,642073,503292,16.584815,5319.162607
2.085686,564637,642073,503292,17.326089,5377.337217
2.233982,564637,642073,503292,16.175947,5364.948750
2.218246,564637,642073,503292,16.290695,5334.584236
2.147675,564637,642073,503292,16.826002,5352.258444
2.208471,564637,642073,503292,16.362801,5373.581648
2.211809,564637,642073,503292,16.338108,5361.404181
4.994392,564637,642073,503292,7.235470,5434.662342
2.145052,564637,642073,503292,16.846574,5358.431816
2.159834,564637,642073,503292,16.731275,5363.480091
2.225637,564637,642073,503292,16.236596,5376.548767
2.153635,564637,642073,503292,16.779434,5341.109514
2.157927,564637,642073,503292,16.746064,5401.695967
2.225637,564637,642073,503292,16.236596,5300.484657
2.222300,564637,642073,503292,16.260983,5377.823353
2.213001,564637,642073,503292,16.329307,5368.578911
2.193451,564637,642073,503292,16.474850,5342.883348
2.216101,564637,642073,503292,16.306468,5389.499426
2.092123,564637,642073,503292,17.272778,5358.332396
2.156258,564637,642073,503292,16.759025,5377.782345
2.217531,564637,642073,503292,16.295949,5403.887272
2.128839,564637,642073,503292,16.974871,5417.509794
2.158165,564637,642073,503292,16.744214,5376.362085
2.168179,564637,642073,503292,16.666882,5371.034622
2.212286,564637,642073,503292,16.334586,5359.548569
2.221823,564637,642073,503292,16.264473,5375.607729
2.219677,564637,642073,503292,16.280196,5361.937523
2.221107,564637,642073,503292,16.269711,5321.033716
2.232075,564637,642073,503292,16.189770,5357.464552
2.144814,564637,642073,503292,16.848446,5296.329975
2.172232,564637,642073,503292,16.635784,5352.335453
2.222061,564637,642073,503292,16.262728,5346.944571
2.167225,564637,642073,503292,16.674216,5336.432695
2.163887,564637,642073,503292,16.699937,5341.738224
2.152920,564637,642073,503292,16.785008,5395.540714
2.169609,564637,642073,503292,16.655893,5408.311844
2.151251,564637,642073,503292,16.798030,5348.518848
2.128601,564637,642073,503292,16.976772,5344.735861
2.209902,564637,642073,503292,16.352209,5363.993406
2.148867,564637,642073,503292,16.816667,5351.798773
2.161741,564637,642073,503292,16.716513,5340.655565
2.184391,564637,642073,503292,16.543181,5394.933701
2.150774,564637,642073,503292,16.801754,5343.520641
2.198935,564637,642073,503292,16.433766,5327.362776
2.168655,564637,642073,503292,16.663217,5351.553440
2.171516,564637,642073,503292,16.641263,5382.864714
2.243519,564637,642073,503292,16.107186,5340.219975
2.149343,564637,642073,503292,16.812937,5395.269394
2.199650,564637,642073,503292,16.428422,5366.955519
2.224207,564637,642073,503292,16.247039,5357.990980
2.275467,564637,642073,503292,15.881038,5375.460386
2.216101,564637,642073,503292,16.306468,5334.638357
5.078316,564637,642073,503292,7.115898,5352.348804
2.175808,564637,642073,503292,16.608440,5303.990841
2.216339,564637,642073,503292,16.304714,5374.505281
2.209187,564637,642073,503292,16.357503,5451.223135
# End of Execution
