# Execution with input file: human_gene2.mtx, NPROCS: 64, SELECTED MODE: 2D BLOCK PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
2.018929,286799,596742,133782,17.898987,8236.808062
2.019405,286799,596742,133782,17.894761,8194.089413
1.996279,286799,596742,133782,18.102069,8184.712172
2.028942,286799,596742,133782,17.810649,8147.704363
1.401663,286799,596742,133782,25.781361,8815.781116
2.118587,286799,596742,133782,17.057014,8028.844833
2.039671,286799,596742,133782,17.716964,8420.674801
2.170086,286799,596742,133782,16.652233,8131.069899
2.090931,286799,596742,133782,17.282625,7964.669228
1.651525,286799,596742,133782,21.880847,9100.267410
2.110004,286799,596742,133782,17.126398,8500.392675
2.027512,286799,596742,133782,17.823215,8578.667879
2.015591,286799,596742,133782,17.928628,8029.279947
2.479076,286799,596742,133782,14.576709,8937.219620
18.049717,286799,596742,133782,2.002069,11587.130785
2.133131,286799,596742,133782,16.940720,8627.354145
14.261723,286799,596742,133782,2.533830,14742.972851
1.945019,286799,596742,133782,18.579140,9967.272520
14.757156,286799,596742,133782,2.448763,13276.839256
3.536224,286799,596742,133782,10.219028,8647.502899
2.888918,286799,596742,133782,12.508758,8989.400625
2.935886,286799,596742,133782,12.308643,14292.244196
3.358364,286799,596742,133782,10.760232,12514.175415
14.641523,286799,596742,133782,2.468102,12545.706272
3.883839,286799,596742,133782,9.304397,12576.475382
7.412434,286799,596742,133782,4.875157,15264.991522
3.156900,286799,596742,133782,11.446917,11234.588623
13.711929,286799,596742,133782,2.635426,12506.074905
2.837896,286799,596742,133782,12.733649,14483.135939
2.619743,286799,596742,133782,13.794014,18348.564148
6.514549,286799,596742,133782,5.547088,9386.800766
14.287710,286799,596742,133782,2.529221,10541.645765
5.403757,286799,596742,133782,6.687343,10027.321577
3.387213,286799,596742,133782,10.668588,8871.442080
2.120733,286799,596742,133782,17.039755,8765.292168
2.157927,286799,596742,133782,16.746064,8382.796764
1.493931,286799,596742,133782,24.189056,8662.575483
2.119780,286799,596742,133782,17.047421,8259.786844
2.052546,286799,596742,133782,17.605834,8668.512106
2.160311,286799,596742,133782,16.727582,8262.866735
2.094269,286799,596742,133782,17.255080,8229.355335
2.157450,286799,596742,133782,16.749765,7847.907543
2.296686,286799,596742,133782,15.734312,8424.240589
2.195120,286799,596742,133782,16.462325,8417.256832
2.114773,286799,596742,133782,17.087782,8127.746105
2.202988,286799,596742,133782,16.403531,8611.337662
2.052307,286799,596742,133782,17.607879,8026.404381
1.679659,286799,596742,133782,21.514354,8425.405264
2.195120,286799,596742,133782,16.462325,8073.468924
2.020359,286799,596742,133782,17.886314,8228.935003
2.226114,286799,596742,133782,16.233118,8316.832781
2.207994,286799,596742,133782,16.366335,8336.400032
2.092361,286799,596742,133782,17.270809,8322.158813
2.159119,286799,596742,133782,16.736818,8782.019615
2.031326,286799,596742,133782,17.789745,8563.984871
2.000809,286799,596742,133782,18.061085,8641.225576
2.644300,286799,596742,133782,13.665911,9314.502716
3.044844,286799,596742,133782,11.868188,9835.613966
8.209944,286799,596742,133782,4.401586,9305.426598
2.634764,286799,596742,133782,13.715376,12908.300161
2.525091,286799,596742,133782,14.311078,9492.130518
3.126383,286799,596742,133782,11.558654,10003.083467
4.767895,286799,596742,133782,7.579189,9615.092516
8.275509,286799,596742,133782,4.366713,15344.378471
7.460594,286799,596742,133782,4.843686,13211.591959
14.814377,286799,596742,133782,2.439304,12084.405184
3.079176,286799,596742,133782,11.735859,12744.659662
3.123283,286799,596742,133782,11.570124,10875.880241
4.146099,286799,596742,133782,8.715850,11327.051640
14.732838,286799,596742,133782,2.452805,11018.452168
14.477968,286799,596742,133782,2.495984,14002.499819
2.277136,286799,596742,133782,15.869398,15889.893293
5.594254,286799,596742,133782,6.459624,12571.738958
3.277063,286799,596742,133782,11.027183,10592.202663
14.559746,286799,596742,133782,2.481965,9043.740749
1.920700,286799,596742,133782,18.814377,8855.431795
2.312183,286799,596742,133782,15.628854,8914.206505
4.421711,286799,596742,133782,8.172578,8635.357141
2.129555,286799,596742,133782,16.969170,8573.611975
3.262043,286799,596742,133782,11.077958,7783.908129
2.051115,286799,596742,133782,17.618113,8197.050333
2.190351,286799,596742,133782,16.498163,8293.061495
2.030373,286799,596742,133782,17.798101,8202.357531
2.098560,286799,596742,133782,17.219794,8270.464897
2.204895,286799,596742,133782,16.389341,8004.426241
2.024412,286799,596742,133782,17.850503,8652.611017
4.587650,286799,596742,133782,7.876968,8325.977564
2.098560,286799,596742,133782,17.219794,8053.893566
2.082109,286799,596742,133782,17.355848,8337.529421
2.105951,286799,596742,133782,17.159360,7881.463289
2.138138,286799,596742,133782,16.901051,8026.547432
2.096891,286799,596742,133782,17.233499,8052.011967
2.123833,286799,596742,133782,17.014888,8155.348301
2.092123,286799,596742,133782,17.272778,8462.568283
2.228737,286799,596742,133782,16.214016,8304.692268
1.796722,286799,596742,133782,20.112609,8928.394556
2.123356,286799,596742,133782,17.018709,9212.430000
2.395868,286799,596742,133782,15.082956,9558.731079
3.580332,286799,596742,133782,10.093136,9794.177771
18.909454,286799,596742,133782,1.911043,9904.464722
# End of Execution
