# Execution with input file: human_gene2.mtx, NPROCS: 1, SELECTED MODE: SEQUENTIAL EXECUTION
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
65.877115,18068388,18068388,18068388,0.036137,0,438.07
66.662462,18068388,18068388,18068388,0.036137,0,438.08
68.736280,18068388,18068388,18068388,0.036137,0,438.08
62.626520,18068388,18068388,18068388,0.036137,0,439.95
58.340914,18068388,18068388,18068388,0.036137,0,438.08
57.349098,18068388,18068388,18068388,0.036137,0,439.96
57.978306,18068388,18068388,18068388,0.036137,0,438.08
58.271305,18068388,18068388,18068388,0.036137,0,438.08
44.759434,18068388,18068388,18068388,0.036137,0,441.52
67.426449,18068388,18068388,18068388,0.036137,0,438.08
54.394936,18068388,18068388,18068388,0.036137,0,439.29
63.884827,18068388,18068388,18068388,0.036137,0,438.08
204.618874,18068388,18068388,18068388,0.036137,0,440.63
64.246586,18068388,18068388,18068388,0.036137,0,439.95
58.512991,18068388,18068388,18068388,0.036137,0,438.07
24.125082,18068388,18068388,18068388,0.036137,0,444.11
57.019312,18068388,18068388,18068388,0.036137,0,439.96
57.056879,18068388,18068388,18068388,0.036137,0,438.08
74.992283,18068388,18068388,18068388,0.036137,0,438.08
64.436750,18068388,18068388,18068388,0.036137,0,438.08
56.040030,18068388,18068388,18068388,0.036137,0,438.08
58.335478,18068388,18068388,18068388,0.036137,0,439.95
63.922012,18068388,18068388,18068388,0.036137,0,439.95
167.529819,18068388,18068388,18068388,0.036137,0,438.08
54.272951,18068388,18068388,18068388,0.036137,0,438.11
59.520565,18068388,18068388,18068388,0.036137,0,438.08
69.510498,18068388,18068388,18068388,0.036137,0,438.07
46.349457,18068388,18068388,18068388,0.036137,0,440.44
65.139744,18068388,18068388,18068388,0.036137,0,437.89
59.735216,18068388,18068388,18068388,0.036137,0,438.07
68.838732,18068388,18068388,18068388,0.036137,0,439.95
62.594749,18068388,18068388,18068388,0.036137,0,438.08
57.540596,18068388,18068388,18068388,0.036137,0,439.95
59.673685,18068388,18068388,18068388,0.036137,0,438.30
174.271851,18068388,18068388,18068388,0.036137,0,438.08
52.065874,18068388,18068388,18068388,0.036137,0,438.08
22.453384,18068388,18068388,18068388,0.036137,0,444.04
22.156498,18068388,18068388,18068388,0.036137,0,443.56
22.823606,18068388,18068388,18068388,0.036137,0,444.37
22.318146,18068388,18068388,18068388,0.036137,0,443.92
38.084637,18068388,18068388,18068388,0.036137,0,446.22
22.389687,18068388,18068388,18068388,0.036137,0,443.64
22.242390,18068388,18068388,18068388,0.036137,0,445.13
22.176615,18068388,18068388,18068388,0.036137,0,445.18
22.503544,18068388,18068388,18068388,0.036137,0,444.75
22.071796,18068388,18068388,18068388,0.036137,0,443.59
