# Execution with input file: sinc12.mtx, NPROCS: 2, SELECTED MODE: 1D BLOCK PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.352383,294986,294986,294986,1.674237,965.724707,14.25
0.333309,294986,294986,294986,1.770044,962.417364,14.26
0.316620,294986,294986,294986,1.863345,966.970205,14.26
0.337601,294986,294986,294986,1.747544,959.892035,14.26
0.313759,294986,294986,294986,1.880336,967.669249,14.26
0.302315,294986,294986,294986,1.951516,961.978912,14.25
0.336647,294986,294986,294986,1.752494,967.611313,14.25
0.314713,294986,294986,294986,1.874638,971.427917,14.27
0.297785,294986,294986,294986,1.981202,967.225313,14.26
0.334740,294986,294986,294986,1.762480,967.908859,14.26
0.340939,294986,294986,294986,1.730435,959.210873,14.26
0.348091,294986,294986,294986,1.694878,969.204426,14.25
0.335932,294986,294986,294986,1.756226,959.082842,14.25
0.333309,294986,294986,294986,1.770044,953.723192,14.26
0.345707,294986,294986,294986,1.706567,960.135698,14.27
0.316143,294986,294986,294986,1.866155,963.171244,14.26
0.338316,294986,294986,294986,1.743849,962.988853,14.26
0.315666,294986,294986,294986,1.868974,973.552227,14.26
0.342131,294986,294986,294986,1.724406,966.376066,14.65
0.349522,294986,294986,294986,1.687941,966.359138,14.26
0.353575,294986,294986,294986,1.668592,958.085537,14.25
0.333548,294986,294986,294986,1.768779,950.724602,14.27
0.318289,294986,294986,294986,1.853574,960.404634,14.26
0.295162,294986,294986,294986,1.998806,960.381746,14.26
0.340223,294986,294986,294986,1.734073,957.573652,14.25
0.335693,294986,294986,294986,1.757473,958.387852,14.27
0.301361,294986,294986,294986,1.957691,964.446783,14.26
0.346184,294986,294986,294986,1.704216,968.693733,14.25
0.341177,294986,294986,294986,1.729226,958.970547,14.26
0.337839,294986,294986,294986,1.746310,959.602594,14.26
0.334501,294986,294986,294986,1.763736,957.852602,14.26
0.335217,294986,294986,294986,1.759973,956.370354,14.26
0.307322,294986,294986,294986,1.919722,959.442854,14.26
0.443459,294986,294986,294986,1.330388,968.214273,14.26
0.347853,294986,294986,294986,1.696040,971.676826,14.26
0.337839,294986,294986,294986,1.746310,964.782238,14.25
0.356913,294986,294986,294986,1.652987,967.320442,14.26
0.348091,294986,294986,294986,1.694878,969.700813,14.26
0.356913,294986,294986,294986,1.652987,984.218597,14.27
0.339270,294986,294986,294986,1.738947,975.019693,14.26
0.352859,294986,294986,294986,1.671974,962.233782,14.70
0.302792,294986,294986,294986,1.948442,973.909140,14.26
0.339508,294986,294986,294986,1.737726,956.543922,14.25
0.331163,294986,294986,294986,1.781513,962.334156,14.27
0.367880,294986,294986,294986,1.603708,961.651802,14.26
0.338793,294986,294986,294986,1.741395,963.202238,14.26
0.336647,294986,294986,294986,1.752494,961.759567,14.26
0.337124,294986,294986,294986,1.750016,961.128712,14.26
0.348806,294986,294986,294986,1.691403,964.047432,14.26
0.312567,294986,294986,294986,1.887507,962.771416,14.25
0.350237,294986,294986,294986,1.684494,966.603518,14.25
0.324965,294986,294986,294986,1.815497,959.385872,14.26
0.333548,294986,294986,294986,1.768779,967.865944,14.26
0.313520,294986,294986,294986,1.881766,966.675282,14.26
0.340462,294986,294986,294986,1.732858,984.884739,14.26
0.339746,294986,294986,294986,1.736507,979.369164,14.26
0.333071,294986,294986,294986,1.771311,965.185881,14.26
0.332832,294986,294986,294986,1.772580,969.948292,14.26
0.331640,294986,294986,294986,1.778952,970.426798,14.26
0.353813,294986,294986,294986,1.667468,977.345705,14.26
0.343800,294986,294986,294986,1.716035,999.493837,14.25
0.333309,294986,294986,294986,1.770044,969.954491,14.25
0.339031,294986,294986,294986,1.740170,970.035076,14.26
0.344992,294986,294986,294986,1.710105,955.622911,14.26
0.334263,294986,294986,294986,1.764994,967.496157,14.26
0.362158,294986,294986,294986,1.629047,972.673416,14.27
0.351429,294986,294986,294986,1.678780,969.526768,14.64
0.340939,294986,294986,294986,1.730435,957.637548,14.26
0.334501,294986,294986,294986,1.763736,957.335949,14.25
0.337839,294986,294986,294986,1.746310,956.078053,14.25
0.345945,294986,294986,294986,1.705391,978.855371,14.26
0.348568,294986,294986,294986,1.692559,981.178045,14.68
0.343084,294986,294986,294986,1.719612,960.876465,14.26
0.357151,294986,294986,294986,1.651884,968.242645,14.25
0.341654,294986,294986,294986,1.726812,965.094805,14.26
0.347137,294986,294986,294986,1.699534,971.232176,14.25
0.342369,294986,294986,294986,1.723205,963.695288,14.25
0.295639,294986,294986,294986,1.995582,956.659317,14.27
0.324726,294986,294986,294986,1.816830,971.448898,14.25
0.352383,294986,294986,294986,1.674237,957.634211,14.25
0.327110,294986,294986,294986,1.803587,956.770897,14.25
0.338078,294986,294986,294986,1.745079,964.466810,14.69
0.346184,294986,294986,294986,1.704216,963.147163,14.26
0.345945,294986,294986,294986,1.705391,995.146275,14.25
0.303030,294986,294986,294986,1.946909,964.919806,14.26
0.333786,294986,294986,294986,1.767516,960.206270,14.26
0.334501,294986,294986,294986,1.763736,958.966017,14.26
0.334024,294986,294986,294986,1.766254,959.791183,14.26
0.334024,294986,294986,294986,1.766254,960.168362,14.26
0.333786,294986,294986,294986,1.767516,960.868120,14.26
0.325441,294986,294986,294986,1.812837,968.685627,14.27
0.314236,294986,294986,294986,1.877482,967.503548,14.26
0.331879,294986,294986,294986,1.777674,966.721058,14.25
0.341654,294986,294986,294986,1.726812,959.231615,14.25
0.335455,294986,294986,294986,1.758722,961.758852,14.25
0.329971,294986,294986,294986,1.787949,963.690519,14.26
0.343800,294986,294986,294986,1.716035,957.754612,14.26
0.340700,294986,294986,294986,1.731646,960.182905,14.63
0.343561,294986,294986,294986,1.717225,978.355885,14.26
0.296831,294986,294986,294986,1.987568,955.167294,14.27
# End of Execution
