# Execution with input file: sinc12.mtx, NPROCS: 16, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.023603,18436,18553,18379,24.995171,223.942041
0.023127,18436,18553,18379,25.510535,174.521446
0.031710,18436,18553,18379,18.605428,172.744274
0.022888,18436,18553,18379,25.776270,169.797897
0.023127,18436,18553,18379,25.510535,173.469305
0.030756,18436,18553,18379,19.182340,177.412271
0.031710,18436,18553,18379,18.605428,179.835081
0.022650,18436,18553,18379,26.047599,168.350220
0.022888,18436,18553,18379,25.776270,174.631119
0.022888,18436,18553,18379,25.776270,173.677921
0.022650,18436,18553,18379,26.047599,170.229673
0.022650,18436,18553,18379,26.047599,173.015356
0.022650,18436,18553,18379,26.047599,169.589758
0.029564,18436,18553,18379,19.955822,174.424410
0.022650,18436,18553,18379,26.047599,173.558950
0.023365,18436,18553,18379,25.250224,173.320055
0.023603,18436,18553,18379,24.995171,174.966574
0.023603,18436,18553,18379,24.995171,174.599886
0.022650,18436,18553,18379,26.047599,169.134378
0.023127,18436,18553,18379,25.510535,173.839331
0.023603,18436,18553,18379,24.995171,178.497314
0.023365,18436,18553,18379,25.250224,175.107241
0.022650,18436,18553,18379,26.047599,169.973373
0.023365,18436,18553,18379,25.250224,173.876762
0.023127,18436,18553,18379,25.510535,174.762487
0.022888,18436,18553,18379,25.776270,183.249474
0.023127,18436,18553,18379,25.510535,184.948444
0.030041,18436,18553,18379,19.639063,170.039177
0.023603,18436,18553,18379,24.995171,183.805466
0.023127,18436,18553,18379,25.510535,215.579987
0.022888,18436,18553,18379,25.776270,174.108744
0.028372,18436,18553,18379,20.794302,160.459757
0.022650,18436,18553,18379,26.047599,169.069767
0.022650,18436,18553,18379,26.047599,170.112848
0.022650,18436,18553,18379,26.047599,168.863773
0.023127,18436,18553,18379,25.510535,173.582792
0.022650,18436,18553,18379,26.047599,169.393539
0.023127,18436,18553,18379,25.510535,175.065041
0.023603,18436,18553,18379,24.995171,177.646637
0.023365,18436,18553,18379,25.250224,174.257517
0.023365,18436,18553,18379,25.250224,175.480604
0.022888,18436,18553,18379,25.776270,181.839466
0.023603,18436,18553,18379,24.995171,174.491405
0.030756,18436,18553,18379,19.182340,179.391861
0.030994,18436,18553,18379,19.034784,160.059214
0.022650,18436,18553,18379,26.047599,168.638706
0.030994,18436,18553,18379,19.034784,195.055246
0.023127,18436,18553,18379,25.510535,174.451351
0.023127,18436,18553,18379,25.510535,174.159288
0.023365,18436,18553,18379,25.250224,180.996656
0.023127,18436,18553,18379,25.510535,174.201012
0.029564,18436,18553,18379,19.955822,174.185276
0.022888,18436,18553,18379,25.776270,161.653996
0.022650,18436,18553,18379,26.047599,179.552078
0.023365,18436,18553,18379,25.250224,174.716711
0.023603,18436,18553,18379,24.995171,177.490711
0.023365,18436,18553,18379,25.250224,174.958467
0.026226,18436,18553,18379,22.495654,175.041437
0.022650,18436,18553,18379,26.047599,169.502735
0.030994,18436,18553,18379,19.034784,169.346809
0.031233,18436,18553,18379,18.889480,178.342342
0.031233,18436,18553,18379,18.889480,171.082258
0.022650,18436,18553,18379,26.047599,169.103622
0.023365,18436,18553,18379,25.250224,173.836946
0.022888,18436,18553,18379,25.776270,168.092966
0.023127,18436,18553,18379,25.510535,170.845270
0.022650,18436,18553,18379,26.047599,173.170567
0.023603,18436,18553,18379,24.995171,174.861908
0.022888,18436,18553,18379,25.776270,177.009583
0.029802,18436,18553,18379,19.796175,168.832064
0.031233,18436,18553,18379,18.889480,174.926996
0.031710,18436,18553,18379,18.605428,178.629398
0.030279,18436,18553,18379,19.484425,168.842554
0.022650,18436,18553,18379,26.047599,162.862062
0.030994,18436,18553,18379,19.034784,175.132751
0.022888,18436,18553,18379,25.776270,173.554420
0.022650,18436,18553,18379,26.047599,168.854713
0.023127,18436,18553,18379,25.510535,178.372622
0.023127,18436,18553,18379,25.510535,173.790932
0.022650,18436,18553,18379,26.047599,180.893183
0.023365,18436,18553,18379,25.250224,174.649715
0.023365,18436,18553,18379,25.250224,173.987865
0.023127,18436,18553,18379,25.510535,184.226751
0.023842,18436,18553,18379,24.745219,174.275398
0.023127,18436,18553,18379,25.510535,178.116798
0.022650,18436,18553,18379,26.047599,159.810305
0.027657,18436,18553,18379,21.332086,173.754454
0.023365,18436,18553,18379,25.250224,174.691439
0.023603,18436,18553,18379,24.995171,174.669266
0.032425,18436,18553,18379,18.195014,174.831390
0.026941,18436,18553,18379,21.898424,174.820900
0.022411,18436,18553,18379,26.324701,170.149565
0.023127,18436,18553,18379,25.510535,179.053068
0.030756,18436,18553,18379,19.182340,168.969870
0.023365,18436,18553,18379,25.250224,174.723148
0.023127,18436,18553,18379,25.510535,184.180498
0.023127,18436,18553,18379,25.510535,175.150871
0.022888,18436,18553,18379,25.776270,170.233488
0.022888,18436,18553,18379,25.776270,169.044495
0.030518,18436,18553,18379,19.332202,184.889078
# End of Execution
