# Execution with input file: sinc12.mtx, NPROCS: 16, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.022888,18436,18553,18379,25.776270,186.184406,20.53
0.023127,18436,18553,18379,25.510535,186.117411,20.53
0.023603,18436,18553,18379,24.995171,185.837269,20.53
0.022888,18436,18553,18379,25.776270,186.143160,20.52
0.023842,18436,18553,18379,24.745219,188.631773,20.53
0.022888,18436,18553,18379,25.776270,178.290129,20.53
0.023127,18436,18553,18379,25.510535,185.407877,20.61
0.023127,18436,18553,18379,25.510535,183.615446,20.53
0.027180,18436,18553,18379,21.706333,191.100359,20.52
0.023127,18436,18553,18379,25.510535,188.936234,20.67
0.022888,18436,18553,18379,25.776270,178.532839,20.53
0.022888,18436,18553,18379,25.776270,182.264090,20.53
0.031471,18436,18553,18379,18.746378,187.124968,20.53
0.031710,18436,18553,18379,18.605428,178.738117,20.53
0.022650,18436,18553,18379,26.047599,178.576708,20.53
0.022888,18436,18553,18379,25.776270,183.593512,20.53
0.022888,18436,18553,18379,25.776270,183.279276,20.52
0.022888,18436,18553,18379,25.776270,179.486513,20.53
0.023842,18436,18553,18379,24.745219,182.590246,20.53
0.023365,18436,18553,18379,25.250224,184.243202,20.53
0.031471,18436,18553,18379,18.746378,192.975521,20.53
0.023365,18436,18553,18379,25.250224,190.716505,20.53
0.023365,18436,18553,18379,25.250224,183.055162,20.53
0.022888,18436,18553,18379,25.776270,186.151505,20.53
0.023603,18436,18553,18379,24.995171,190.176249,20.52
0.023842,18436,18553,18379,24.745219,190.660954,20.53
0.023127,18436,18553,18379,25.510535,196.777344,20.53
0.032902,18436,18553,18379,17.931318,181.142807,20.52
0.033617,18436,18553,18379,17.549801,178.350210,20.53
0.027180,18436,18553,18379,21.706333,180.886030,20.56
0.022888,18436,18553,18379,25.776270,190.108538,20.53
0.022650,18436,18553,18379,26.047599,178.286552,20.53
0.023365,18436,18553,18379,25.250224,183.448792,20.53
0.022650,18436,18553,18379,26.047599,186.851740,20.53
0.023127,18436,18553,18379,25.510535,193.395138,20.53
0.023127,18436,18553,18379,25.510535,188.245535,20.52
0.022888,18436,18553,18379,25.776270,194.208622,20.53
0.024080,18436,18553,18379,24.500217,182.968140,20.53
0.022888,18436,18553,18379,25.776270,184.123993,20.53
0.028849,18436,18553,18379,20.450594,184.206963,20.56
0.022888,18436,18553,18379,25.776270,189.419270,20.53
0.022888,18436,18553,18379,25.776270,181.729317,20.53
0.023842,18436,18553,18379,24.745219,190.789700,20.53
0.023365,18436,18553,18379,25.250224,181.918144,20.53
0.022888,18436,18553,18379,25.776270,183.722496,20.53
0.022888,18436,18553,18379,25.776270,182.656765,20.48
0.023365,18436,18553,18379,25.250224,192.162514,20.52
0.030041,18436,18553,18379,19.639063,187.445641,20.53
0.030041,18436,18553,18379,19.639063,182.745695,20.53
0.022650,18436,18553,18379,26.047599,181.755304,20.53
0.023365,18436,18553,18379,25.250224,182.526588,20.53
0.023842,18436,18553,18379,24.745219,183.625460,20.53
0.023365,18436,18553,18379,25.250224,181.897163,20.53
0.022888,18436,18553,18379,25.776270,192.048311,20.53
0.022888,18436,18553,18379,25.776270,168.590546,20.53
0.022888,18436,18553,18379,25.776270,183.907986,20.53
0.022888,18436,18553,18379,25.776270,184.122324,20.53
