# Execution with input file: sinc12.mtx, NPROCS: 128, SELECTED MODE: 2D BLOCK PARTITIONING
# Execution_time, avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time
0.005722,2322,4500,409,103.105080,250.286341
0.025034,2322,4500,409,23.566875,243.355513
0.006199,2322,4500,409,95.173920,243.636370
0.006437,2322,4500,409,91.648960,214.437723
0.005722,2322,4500,409,103.105080,239.110231
0.006914,2322,4500,409,85.328342,243.243933
0.006199,2322,4500,409,95.173920,213.090420
0.006914,2322,4500,409,85.328342,213.149548
0.005960,2322,4500,409,98.980877,244.061947
0.006199,2322,4500,409,95.173920,213.494062
0.005960,2322,4500,409,98.980877,212.853909
0.005722,2322,4500,409,103.105080,245.418310
0.006199,2322,4500,409,95.173920,222.082138
0.008345,2322,4500,409,70.700626,230.601072
0.006199,2322,4500,409,95.173920,215.475321
0.006199,2322,4500,409,95.173920,226.861000
0.005960,2322,4500,409,98.980877,216.433764
0.010014,2322,4500,409,58.917189,222.259998
0.012636,2322,4500,409,46.689093,243.912220
0.006199,2322,4500,409,95.173920,215.832710
0.005960,2322,4500,409,98.980877,211.889029
0.006437,2322,4500,409,91.648960,212.122679
0.006437,2322,4500,409,91.648960,214.648008
0.006676,2322,4500,409,88.375783,212.119818
0.005960,2322,4500,409,98.980877,234.139204
0.005722,2322,4500,409,103.105080,214.000940
0.006199,2322,4500,409,95.173920,226.751328
0.006199,2322,4500,409,95.173920,234.638691
0.007391,2322,4500,409,79.823288,242.898703
0.006437,2322,4500,409,91.648960,212.910652
0.005960,2322,4500,409,98.980877,228.526592
0.005722,2322,4500,409,103.105080,212.585926
0.006199,2322,4500,409,95.173920,214.418173
0.005960,2322,4500,409,98.980877,243.045568
0.005960,2322,4500,409,98.980877,273.411274
0.005960,2322,4500,409,98.980877,246.486902
0.005722,2322,4500,409,103.105080,233.430147
0.006676,2322,4500,409,88.375783,243.896008
0.006199,2322,4500,409,95.173920,241.789103
0.005722,2322,4500,409,103.105080,316.665173
0.007391,2322,4500,409,79.823288,235.606909
0.006437,2322,4500,409,91.648960,212.085009
0.005722,2322,4500,409,103.105080,222.192287
0.005722,2322,4500,409,103.105080,245.404482
0.006199,2322,4500,409,95.173920,222.884655
0.005722,2322,4500,409,103.105080,213.040829
0.006199,2322,4500,409,95.173920,282.618284
0.005722,2322,4500,409,103.105080,246.576548
0.006199,2322,4500,409,95.173920,221.038818
0.005960,2322,4500,409,98.980877,212.332010
0.009060,2322,4500,409,65.118998,300.477028
0.005960,2322,4500,409,98.980877,225.764513
0.006199,2322,4500,409,95.173920,215.830326
0.005722,2322,4500,409,103.105080,213.993073
0.005960,2322,4500,409,98.980877,258.830070
0.006437,2322,4500,409,91.648960,230.077982
0.006437,2322,4500,409,91.648960,222.578526
0.005722,2322,4500,409,103.105080,349.014044
0.006199,2322,4500,409,95.173920,219.136238
0.006199,2322,4500,409,95.173920,254.007339
0.005960,2322,4500,409,98.980877,230.710506
0.006199,2322,4500,409,95.173920,214.769125
0.011444,2322,4500,409,51.552540,213.187695
0.005722,2322,4500,409,103.105080,213.328838
0.006199,2322,4500,409,95.173920,212.335348
0.006676,2322,4500,409,88.375783,241.739511
0.005722,2322,4500,409,103.105080,212.650061
0.010252,2322,4500,409,57.547021,214.153290
0.005722,2322,4500,409,103.105080,212.831974
0.020266,2322,4500,409,29.112023,228.208065
0.005722,2322,4500,409,103.105080,243.574142
0.006199,2322,4500,409,95.173920,231.455803
0.005722,2322,4500,409,103.105080,221.634626
0.005960,2322,4500,409,98.980877,328.974485
0.005960,2322,4500,409,98.980877,214.801073
0.011683,2322,4500,409,50.500447,244.725943
0.005960,2322,4500,409,98.980877,207.343578
0.019312,2322,4500,409,30.549653,214.385748
0.006199,2322,4500,409,95.173920,243.607998
0.006199,2322,4500,409,95.173920,220.193386
0.005960,2322,4500,409,98.980877,273.801804
0.005722,2322,4500,409,103.105080,213.108063
0.006199,2322,4500,409,95.173920,401.247263
0.018120,2322,4500,409,32.559499,243.324041
0.005960,2322,4500,409,98.980877,244.746447
0.005960,2322,4500,409,98.980877,293.242931
0.006437,2322,4500,409,91.648960,244.268894
0.006199,2322,4500,409,95.173920,246.322632
0.005960,2322,4500,409,98.980877,254.535437
0.006199,2322,4500,409,95.173920,235.745430
0.005484,2322,4500,409,107.587910,216.156244
0.011683,2322,4500,409,50.500447,212.604523
0.006199,2322,4500,409,95.173920,214.725018
0.006437,2322,4500,409,91.648960,247.522116
0.016451,2322,4500,409,35.862637,221.660376
0.006199,2322,4500,409,95.173920,224.994898
0.005960,2322,4500,409,98.980877,243.066549
0.006437,2322,4500,409,91.648960,213.115215
0.005960,2322,4500,409,98.980877,241.909981
0.006437,2322,4500,409,91.648960,212.821484
# End of Execution
