# Execution with input file: sinc12.mtx, NPROCS: 1, SELECTED MODE: SEQUENTIAL EXECUTION
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
0.396193,294986,294986,294986,0.000590,0,14.10
0.337233,294986,294986,294986,0.000590,0,15.97
0.341225,294986,294986,294986,0.000590,0,15.97
0.343136,294986,294986,294986,0.000590,0,15.98
0.412207,294986,294986,294986,0.000590,0,15.97
0.415733,294986,294986,294986,0.000590,0,14.43
0.390295,294986,294986,294986,0.000590,0,14.10
0.346619,294986,294986,294986,0.000590,0,14.10
0.337362,294986,294986,294986,0.000590,0,14.10
0.352032,294986,294986,294986,0.000590,0,14.10
0.333580,294986,294986,294986,0.000590,0,14.10
0.406277,294986,294986,294986,0.000590,0,14.10
0.338623,294986,294986,294986,0.000590,0,14.09
0.333241,294986,294986,294986,0.000590,0,14.10
0.577330,294986,294986,294986,0.000590,0,14.10
0.501123,294986,294986,294986,0.000590,0,14.10
0.391369,294986,294986,294986,0.000590,0,14.10
0.332352,294986,294986,294986,0.000590,0,14.10
0.344482,294986,294986,294986,0.000590,0,14.10
0.333927,294986,294986,294986,0.000590,0,14.10
0.335291,294986,294986,294986,0.000590,0,14.10
0.348581,294986,294986,294986,0.000590,0,14.10
0.339640,294986,294986,294986,0.000590,0,14.10
0.351009,294986,294986,294986,0.000590,0,14.10
0.405033,294986,294986,294986,0.000590,0,14.10
0.353855,294986,294986,294986,0.000590,0,14.10
0.440990,294986,294986,294986,0.000590,0,14.10
0.412252,294986,294986,294986,0.000590,0,14.10
0.456226,294986,294986,294986,0.000590,0,14.09
0.341007,294986,294986,294986,0.000590,0,14.10
0.338858,294986,294986,294986,0.000590,0,14.09
0.337654,294986,294986,294986,0.000590,0,14.10
0.344345,294986,294986,294986,0.000590,0,14.10
0.405226,294986,294986,294986,0.000590,0,14.10
0.340672,294986,294986,294986,0.000590,0,14.10
0.338339,294986,294986,294986,0.000590,0,14.10
0.338726,294986,294986,294986,0.000590,0,14.10
0.337296,294986,294986,294986,0.000590,0,14.09
0.489357,294986,294986,294986,0.000590,0,14.09
0.341614,294986,294986,294986,0.000590,0,14.10
0.337574,294986,294986,294986,0.000590,0,14.10
0.392643,294986,294986,294986,0.000590,0,16.29
0.429228,294986,294986,294986,0.000590,0,14.10
0.337332,294986,294986,294986,0.000590,0,14.10
0.338707,294986,294986,294986,0.000590,0,14.10
0.338266,294986,294986,294986,0.000590,0,14.10
0.395718,294986,294986,294986,0.000590,0,14.10
0.347565,294986,294986,294986,0.000590,0,14.10
0.451336,294986,294986,294986,0.000590,0,14.10
0.346130,294986,294986,294986,0.000590,0,14.10
0.418650,294986,294986,294986,0.000590,0,14.10
0.419329,294986,294986,294986,0.000590,0,15.97
0.427679,294986,294986,294986,0.000590,0,14.10
0.516659,294986,294986,294986,0.000590,0,14.10
0.424570,294986,294986,294986,0.000590,0,14.10
0.334408,294986,294986,294986,0.000590,0,14.10
0.497084,294986,294986,294986,0.000590,0,15.97
0.342430,294986,294986,294986,0.000590,0,14.10
0.340380,294986,294986,294986,0.000590,0,14.09
0.350363,294986,294986,294986,0.000590,0,15.97
0.337702,294986,294986,294986,0.000590,0,14.09
0.337877,294986,294986,294986,0.000590,0,14.10
0.329134,294986,294986,294986,0.000590,0,14.10
0.333124,294986,294986,294986,0.000590,0,14.10
0.340954,294986,294986,294986,0.000590,0,14.10
0.333141,294986,294986,294986,0.000590,0,14.10
0.397270,294986,294986,294986,0.000590,0,14.10
0.345663,294986,294986,294986,0.000590,0,14.10
0.427008,294986,294986,294986,0.000590,0,14.10
0.440193,294986,294986,294986,0.000590,0,14.10
0.423592,294986,294986,294986,0.000590,0,14.10
0.333128,294986,294986,294986,0.000590,0,14.10
0.394882,294986,294986,294986,0.000590,0,14.10
0.355997,294986,294986,294986,0.000590,0,14.10
0.352764,294986,294986,294986,0.000590,0,14.10
0.355471,294986,294986,294986,0.000590,0,14.10
0.352242,294986,294986,294986,0.000590,0,14.10
0.351891,294986,294986,294986,0.000590,0,14.09
0.343327,294986,294986,294986,0.000590,0,14.10
0.346098,294986,294986,294986,0.000590,0,15.97
0.478863,294986,294986,294986,0.000590,0,14.10
0.437086,294986,294986,294986,0.000590,0,14.10
0.398819,294986,294986,294986,0.000590,0,14.09
0.340031,294986,294986,294986,0.000590,0,15.98
0.340851,294986,294986,294986,0.000590,0,14.10
0.338249,294986,294986,294986,0.000590,0,15.97
0.339333,294986,294986,294986,0.000590,0,14.10
0.420506,294986,294986,294986,0.000590,0,14.10
0.336784,294986,294986,294986,0.000590,0,14.10
0.342026,294986,294986,294986,0.000590,0,14.10
0.393240,294986,294986,294986,0.000590,0,14.09
0.337975,294986,294986,294986,0.000590,0,14.10
0.338537,294986,294986,294986,0.000590,0,15.97
0.341509,294986,294986,294986,0.000590,0,14.10
0.357437,294986,294986,294986,0.000590,0,14.10
0.459581,294986,294986,294986,0.000590,0,14.10
0.338051,294986,294986,294986,0.000590,0,14.10
0.387575,294986,294986,294986,0.000590,0,14.10
0.418224,294986,294986,294986,0.000590,0,14.10
0.361288,294986,294986,294986,0.000590,0,14.10
# End of Execution
