# Execution with input file: weak_scaling_NP128.mtx, NPROCS: 128, SELECTED MODE: 1D BLOCK PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
10.577679,403149,403160,403140,9.680763,56218.366861,1218.79
8.139133,403149,403160,403140,12.581192,33497.501373,1218.80
9.521008,403149,403160,403140,10.755164,33329.938173,1218.79
11.557341,403149,403160,403140,8.860170,33484.486341,1218.79
9.753466,403149,403160,403140,10.498832,33684.487343,1218.80
19.539118,403149,403160,403140,5.240769,33565.204859,1220.62
9.474993,403149,403160,403140,10.807396,33390.597582,1220.71
9.079218,403149,403160,403140,11.278504,33510.195255,1218.79
9.493589,403149,403160,403140,10.786226,33563.420534,1218.79
8.282661,403149,403160,403140,12.363176,34020.152807,1220.50
9.557962,403149,403160,403140,10.713581,33541.025639,1218.80
8.738995,403149,403160,403140,11.717595,33469.759703,1220.65
9.779215,403149,403160,403140,10.471188,33821.731329,1218.79
11.922121,403149,403160,403140,8.589076,33458.340406,1218.79
8.424759,403149,403160,403140,12.154650,33465.839863,1218.79
9.586334,403149,403160,403140,10.681873,33535.976410,1218.79
9.702921,403149,403160,403140,10.553523,33489.190817,1218.79
9.613752,403149,403160,403140,10.651408,33407.052279,1218.79
9.477854,403149,403160,403140,10.804134,33461.678505,1218.79
9.568691,403149,403160,403140,10.701568,33550.698757,1218.80
9.554148,403149,403160,403140,10.717858,33604.749680,1218.79
9.654760,403149,403160,403140,10.606167,33411.499262,1218.80
9.085894,403149,403160,403140,11.270218,34202.393293,1220.70
9.542465,403149,403160,403140,10.730980,33418.730497,1218.79
9.582520,403149,403160,403140,10.686125,33353.551388,1218.79
10.031700,403149,403160,403140,10.207642,33345.629454,1221.74
9.619474,403149,403160,403140,10.645072,33517.589569,1218.79
9.653568,403149,403160,403140,10.607477,33334.797621,1218.80
9.967804,403149,403160,403140,10.273075,33533.077002,1220.24
8.661985,403149,403160,403140,11.821770,33412.679911,1218.79
9.514332,403149,403160,403140,10.762711,34047.054052,1218.80
9.682178,403149,403160,403140,10.576132,33495.666981,1218.79
9.639978,403149,403160,403140,10.622430,33444.977283,1218.79
11.574507,403149,403160,403140,8.847029,34328.818083,1218.79
9.288549,403149,403160,403140,11.024326,33402.190685,1218.79
