# Execution with input file: weak_scaling_NP2.mtx, NPROCS: 2, SELECTED MODE: 1D CYCLIC PARTITIONING
# Execution_time[ms], avgNNZ, maxNNZ, minNNZ, GFLOPS, Comm_time[ms], Peak_memory_footprint[MB]
1.135588,400000,400000,400000,1.408962,388.164759,38.98
1.049757,400000,400000,400000,1.524162,370.020151,39.77
1.100540,400000,400000,400000,1.453832,369.510651,39.60
0.857115,400000,400000,400000,1.866728,369.673967,39.22
1.070738,400000,400000,400000,1.494297,368.976116,39.73
1.054525,400000,400000,400000,1.517270,368.730783,40.57
1.084328,400000,400000,400000,1.475569,371.977568,39.82
1.046658,400000,400000,400000,1.528676,370.445251,39.10
1.062393,400000,400000,400000,1.506034,368.387699,40.59
1.083374,400000,400000,400000,1.476868,375.994682,39.59
1.049995,400000,400000,400000,1.523816,366.746187,39.72
1.024246,400000,400000,400000,1.562124,369.094849,40.46
1.051903,400000,400000,400000,1.521053,374.397516,42.01
1.025438,400000,400000,400000,1.560308,371.381044,39.35
0.708342,400000,400000,400000,2.258797,368.179321,39.63
1.084089,400000,400000,400000,1.475893,368.324280,39.50
1.053572,400000,400000,400000,1.518644,369.079113,40.08
1.045704,400000,400000,400000,1.530070,367.105007,40.82
1.093388,400000,400000,400000,1.463342,389.381170,39.19
1.094580,400000,400000,400000,1.461748,366.791248,39.67
1.126289,400000,400000,400000,1.420594,367.767096,40.64
1.028299,400000,400000,400000,1.555967,373.706341,39.82
1.101971,400000,400000,400000,1.451944,366.706133,39.29
1.049757,400000,400000,400000,1.524162,366.761684,39.57
1.052141,400000,400000,400000,1.520708,368.049622,40.02
1.053095,400000,400000,400000,1.519331,375.228405,39.86
0.813484,400000,400000,400000,1.966848,368.373394,39.24
1.054525,400000,400000,400000,1.517270,370.238066,40.36
0.772953,400000,400000,400000,2.069983,368.459225,42.63
1.134872,400000,400000,400000,1.409850,377.009869,42.90
0.782728,400000,400000,400000,2.044132,377.889872,40.04
1.103878,400000,400000,400000,1.449436,374.336720,40.70
1.074076,400000,400000,400000,1.489653,388.402700,40.35
1.083136,400000,400000,400000,1.477193,372.696877,40.48
0.788927,400000,400000,400000,2.028071,378.067255,42.59
1.064301,400000,400000,400000,1.503335,379.229307,39.85
1.078606,400000,400000,400000,1.483397,378.987551,42.22
1.071692,400000,400000,400000,1.492967,370.962620,39.87
3.572941,400000,400000,400000,0.447810,378.355742,39.23
1.096964,400000,400000,400000,1.458571,390.727520,40.88
1.068354,400000,400000,400000,1.497631,377.492428,40.35
2.394676,400000,400000,400000,0.668149,395.278454,39.01
3.173351,400000,400000,400000,0.504199,394.778013,39.13
2.565384,400000,400000,400000,0.623688,394.465446,39.05
1.101971,400000,400000,400000,1.451944,369.436264,41.13
1.072168,400000,400000,400000,1.492303,391.237020,39.43
0.886679,400000,400000,400000,1.804487,377.412796,39.32
1.147747,400000,400000,400000,1.394035,373.197079,39.18
2.163649,400000,400000,400000,0.739492,375.090837,38.93
1.758337,400000,400000,400000,0.909951,407.440901,39.82
3.438950,400000,400000,400000,0.465258,376.371145,39.68
3.012657,400000,400000,400000,0.531093,385.215521,39.14
1.099110,400000,400000,400000,1.455724,376.956463,39.60
1.108885,400000,400000,400000,1.442891,377.667189,39.73
3.447056,400000,400000,400000,0.464164,396.334648,39.29
0.849247,400000,400000,400000,1.884022,374.662638,40.80
1.087904,400000,400000,400000,1.470718,370.548964,39.47
1.096249,400000,400000,400000,1.459523,369.620323,39.30
0.650644,400000,400000,400000,2.459101,367.237806,41.50
1.060486,400000,400000,400000,1.508742,369.854212,42.93
1.052380,400000,400000,400000,1.520364,375.828505,39.37
