matrix,memory,threads,cache_miss_avg,l1_miss_avg,llc_miss_avg
c-46,128GB,1,4.379099999999999,5.75,15.666999999999998
c-46,128GB,2,1.5947,5.75,3.2279999999999993
c-46,128GB,4,1.4482000000000002,5.75,3.1449999999999996
c-46,128GB,8,1.5705,5.75,2.7800000000000002
c-46,128GB,16,1.4959,5.75,2.88
c-46,128GB,32,1.5241,5.75,2.898
c-46,128GB,64,1.4346999999999999,5.75,2.5189999999999997
c-46,32GB,1,1.8235999999999997,5.75,6.984999999999999
c-46,32GB,2,0.9396000000000001,5.75,1.443
c-46,32GB,4,0.9144,5.75,1.2109999999999999
c-46,32GB,8,0.8615999999999999,5.75,1.179
c-46,32GB,16,0.8613999999999999,5.75,1.2260000000000002
c-46,32GB,32,0.8865000000000001,5.75,0.966
c-46,32GB,64,0.8421999999999998,5.75,1.046
c-46,64GB,1,1.6118000000000001,5.75,6.159000000000001
c-46,64GB,2,0.8785000000000001,5.75,0.9910000000000002
c-46,64GB,4,1.8233000000000004,5.75,4.32
c-46,64GB,8,0.8613,5.75,1.5019999999999998
c-46,64GB,16,0.8706999999999999,5.75,1.447
c-46,64GB,32,0.9087999999999999,5.75,1.475
c-46,64GB,64,0.9226000000000001,5.75,1.3849999999999998
epb1,128GB,1,6.673,5.401999999999999,25.840000000000003
epb1,128GB,2,1.4666,5.401000000000001,4.58
epb1,128GB,4,2.7411999999999996,5.398999999999999,3.963
epb1,128GB,8,0.993,5.4,2.578
epb1,128GB,16,1.2064,5.401,3.2660000000000005
epb1,128GB,32,0.9379000000000002,5.4,2.7619999999999996
epb1,128GB,64,0.9999,5.4,2.6519999999999997
epb1,32GB,1,5.5641,5.4,20.907000000000004
epb1,32GB,2,1.202,5.4,4.043000000000001
epb1,32GB,4,0.9146999999999998,5.4,3.101
epb1,32GB,8,0.8253999999999999,5.4,2.705
epb1,32GB,16,0.8026,5.4,2.783
epb1,32GB,32,1.0577999999999999,5.4,3.1729999999999996
epb1,32GB,64,0.8047000000000001,5.4,2.761
epb1,64GB,1,5.7928,5.4,22.529999999999998
epb1,64GB,2,1.6655000000000002,5.4,5.593
epb1,64GB,4,0.9083,5.401,2.754
epb1,64GB,8,0.8962999999999999,5.4,2.906
epb1,64GB,16,0.9219999999999999,5.4,3.0090000000000003
epb1,64GB,32,0.9017,5.4,3.062
epb1,64GB,64,0.8662000000000001,5.4,2.784
fd12,128GB,1,8.951,4.325,15.704999999999998
fd12,128GB,2,0.6780000000000002,4.3229999999999995,0.7869999999999999
fd12,128GB,4,0.9439,4.326,1.0690000000000002
fd12,128GB,8,0.7468999999999999,4.3260000000000005,0.8170000000000002
fd12,128GB,16,0.7162000000000001,4.327,0.8240000000000001
fd12,128GB,32,2.2875,4.322,1.405
fd12,128GB,64,0.3464,4.325,0.421
fd12,32GB,1,11.6975,4.322,19.345999999999997
fd12,32GB,2,0.7807999999999999,4.323,1.074
fd12,32GB,4,0.3852,4.324,0.564
fd12,32GB,8,0.4283,4.326,0.606
