matrix,scheduling,memory,threads,cache_misses_percent,l1_misses_percent,llc_misses_percent
c-46,dynamic,128GB,1,8.02,5.745,17.439
c-46,dynamic,128GB,2,37.733,5.749,51.99
c-46,dynamic,128GB,4,54.169,5.753,67.203
c-46,dynamic,128GB,8,35.449,5.757,34.252
c-46,dynamic,128GB,16,26.286,5.758,23.31
c-46,dynamic,128GB,32,21.61,5.754,17.284
c-46,dynamic,128GB,64,22.83,5.733,18.821
c-46,dynamic,32GB,1,5.55,5.75,20.583
c-46,dynamic,32GB,2,39.932,5.749,51.195
c-46,dynamic,32GB,4,53.422,5.754,67.544
c-46,dynamic,32GB,8,37.877,5.756,30.997
c-46,dynamic,32GB,16,28.166,5.757,22.374
c-46,dynamic,32GB,32,20.506,5.753,15.55
c-46,dynamic,32GB,64,24.561,5.583,17.902
c-46,dynamic,64GB,1,3.03,5.746,8.03
c-46,dynamic,64GB,2,45.142,5.754,78.988
c-46,dynamic,64GB,4,56.468,5.758,84.838
c-46,dynamic,64GB,8,41.169,5.762,50.968
c-46,dynamic,64GB,16,32.342,5.765,35.817
c-46,dynamic,64GB,32,26.717,5.766,28.1
c-46,dynamic,64GB,64,22.662,5.755,17.112
c-46,guided,128GB,1,3.588,5.747,14.407
c-46,guided,128GB,2,6.464,5.747,9.362
c-46,guided,128GB,4,11.948,5.747,23.68
c-46,guided,128GB,8,10.555,5.747,19.475
c-46,guided,128GB,16,15.793,5.748,27.97
c-46,guided,128GB,32,14.584,5.746,22.867
c-46,guided,128GB,64,17.424,5.741,20.403
c-46,guided,32GB,1,5.514,5.748,20.918
c-46,guided,32GB,2,10.508,5.748,29.995
c-46,guided,32GB,4,14.19,5.748,33.106
c-46,guided,32GB,8,15.636,5.746,19.641
c-46,guided,32GB,16,14.924,5.744,19.806
c-46,guided,32GB,32,10.972,5.746,13.686
c-46,guided,32GB,64,16.532,5.741,18.251
c-46,guided,64GB,1,2.168,5.747,3.891
c-46,guided,64GB,2,6.338,5.747,10.777
c-46,guided,64GB,4,11.671,5.747,21.319
c-46,guided,64GB,8,14.991,5.748,28.449
c-46,guided,64GB,16,14.649,5.748,24.327
c-46,guided,64GB,32,14.934,5.746,20.804
c-46,guided,64GB,64,16.978,5.742,20.11
c-46,static,128GB,1,1.619,5.747,3.861
c-46,static,128GB,2,10.693,5.748,12.106
c-46,static,128GB,4,18.13,5.748,35.501
c-46,static,128GB,8,14.349,5.747,24.776
c-46,static,128GB,16,13.85,5.746,24.096
c-46,static,128GB,32,12.777,5.74,21.093
c-46,static,128GB,64,11.288,5.714,17.325
c-46,static,32GB,1,6.465,5.748,26.955
c-46,static,32GB,2,12.958,5.747,27.031
c-46,static,32GB,4,18.697,5.747,40.654
c-46,static,32GB,8,16.059,5.747,35.226
c-46,static,32GB,16,15.564,5.745,32.676
c-46,static,32GB,32,14.065,5.739,28.366
c-46,static,32GB,64,15.943,5.739,26.671
c-46,static,64GB,1,5.956,5.747,20.167
c-46,static,64GB,2,13.89,5.747,27.968
c-46,static,64GB,4,20.596,5.747,41.54
c-46,static,64GB,8,18.231,5.748,36.276
c-46,static,64GB,16,17.745,5.747,35.515
c-46,static,64GB,32,16.146,5.746,29.918
c-46,static,64GB,64,14.669,5.738,23.566
epb1,dynamic,128GB,1,6.502,5.395,24.212
epb1,dynamic,128GB,2,42.193,5.399,43.653
epb1,dynamic,128GB,4,58.282,5.404,58.907
epb1,dynamic,128GB,8,39.933,5.407,27.322
epb1,dynamic,128GB,16,27.698,5.408,16.768
epb1,dynamic,128GB,32,23.226,5.405,16.095
epb1,dynamic,128GB,64,20.488,5.207,14.144
epb1,dynamic,32GB,1,6.798,5.403,21.895
epb1,dynamic,32GB,2,43.691,5.399,45.043
epb1,dynamic,32GB,4,60.513,5.404,61.352
epb1,dynamic,32GB,8,39.129,5.407,27.461
epb1,dynamic,32GB,16,28.209,5.408,18.567
epb1,dynamic,32GB,32,22.766,5.405,14.085
epb1,dynamic,32GB,64,20.87,5.26,14.912
epb1,dynamic,64GB,1,0.727,5.396,1.504
epb1,dynamic,64GB,2,41.298,5.4,39.724
epb1,dynamic,64GB,4,65.185,5.41,84.501
epb1,dynamic,64GB,8,45.064,5.414,48.47
epb1,dynamic,64GB,16,32.786,5.417,31.276
epb1,dynamic,64GB,32,27.734,5.418,24.269
epb1,dynamic,64GB,64,21.74,5.408,14.621
epb1,guided,128GB,1,1.166,5.397,3.669
epb1,guided,128GB,2,4.892,5.398,4.585
epb1,guided,128GB,4,10.312,5.398,11.991
epb1,guided,128GB,8,11.282,5.397,13.652
epb1,guided,128GB,16,16.97,5.399,22.062
epb1,guided,128GB,32,16.951,5.397,19.848
epb1,guided,128GB,64,17.997,5.392,17.258
epb1,guided,32GB,1,6.531,5.396,25.684
epb1,guided,32GB,2,10.7,5.396,28.267
epb1,guided,32GB,4,9.862,5.398,12.455
epb1,guided,32GB,8,12.866,5.398,14.281
epb1,guided,32GB,16,15.529,5.398,18.066
epb1,guided,32GB,32,16.232,5.398,18.928
epb1,guided,32GB,64,19.018,5.393,19.206
epb1,guided,64GB,1,1.31,5.398,4.056
epb1,guided,64GB,2,5.368,5.398,4.886
epb1,guided,64GB,4,8.704,5.397,11.531
epb1,guided,64GB,8,15.08,5.399,22.037
epb1,guided,64GB,16,15.027,5.398,18.02
epb1,guided,64GB,32,16.181,5.398,18.969
epb1,guided,64GB,64,17.638,5.393,16.664
epb1,static,128GB,1,0.898,5.397,3.053
epb1,static,128GB,2,10.181,5.398,7.316
epb1,static,128GB,4,22.52,5.398,31.198
epb1,static,128GB,8,17.189,5.398,21.158
epb1,static,128GB,16,17.875,5.397,20.239
epb1,static,128GB,32,14.615,5.392,15.831
epb1,static,128GB,64,14.537,5.369,15.893
epb1,static,32GB,1,3.952,5.398,12.763
epb1,static,32GB,2,9.829,5.397,6.708
epb1,static,32GB,4,24.282,5.398,33.526
epb1,static,32GB,8,18.398,5.398,23.887
epb1,static,32GB,16,16.876,5.397,19.821
