matrix,memory,threads,runtime_90_percentile
c-46,128GB,1,0.5878711
c-46,128GB,2,0.5878703000000001
c-46,128GB,4,0.5879737
c-46,128GB,8,0.5881366
c-46,128GB,16,0.588064
c-46,128GB,32,0.5879463
c-46,128GB,64,0.5880499
c-46,32GB,1,0.5880235
c-46,32GB,2,0.5880295999999999
c-46,32GB,4,0.5880432
c-46,32GB,8,0.5879654999999999
c-46,32GB,16,0.5878633
c-46,32GB,32,0.587979
c-46,32GB,64,0.5878626
c-46,64GB,1,0.5880932999999999
c-46,64GB,2,0.5881771
c-46,64GB,4,0.5882275
c-46,64GB,8,0.5881455
c-46,64GB,16,0.5880362
c-46,64GB,32,0.5878306
c-46,64GB,64,0.5878411
epb1,128GB,1,0.4599195
epb1,128GB,2,0.4599274
epb1,128GB,4,0.4601652
epb1,128GB,8,0.460025
epb1,128GB,16,0.45993209999999995
epb1,128GB,32,0.46000080000000004
epb1,128GB,64,0.4601766
epb1,32GB,1,0.4340028
epb1,32GB,2,0.43414739999999996
epb1,32GB,4,0.4341427
epb1,32GB,8,0.4338702
epb1,32GB,16,0.4341145
epb1,32GB,32,0.4341745
epb1,32GB,64,0.4340748
epb1,64GB,1,0.43424609999999997
epb1,64GB,2,0.4339915
epb1,64GB,4,0.4341354
epb1,64GB,8,0.4342202
epb1,64GB,16,0.4341623
epb1,64GB,32,0.4341067
epb1,64GB,64,0.4341166
fd12,128GB,1,0.13244520000000004
fd12,128GB,2,0.1390737
fd12,128GB,4,0.13993780000000003
fd12,128GB,8,0.139093
fd12,128GB,16,0.1391052
fd12,128GB,32,0.1383889
fd12,128GB,64,0.1389861
fd12,32GB,1,0.15141990000000002
fd12,32GB,2,0.15306590000000003
fd12,32GB,4,0.1390993
fd12,32GB,8,0.1390911
fd12,32GB,16,0.1382939
fd12,32GB,32,0.1390781
fd12,32GB,64,0.1389081
fd12,64GB,1,0.1373568
fd12,64GB,2,0.1370133
fd12,64GB,4,0.1370415
fd12,64GB,8,0.1384224
fd12,64GB,16,0.1390847
fd12,64GB,32,0.1384243
fd12,64GB,64,0.1373712
human_gene2,128GB,1,101.7194
human_gene2,128GB,2,174.55200000000002
human_gene2,128GB,4,81.58105
human_gene2,128GB,8,121.4492
human_gene2,128GB,16,79.61321
human_gene2,128GB,32,79.73388
human_gene2,128GB,64,84.27918
human_gene2,32GB,1,79.70943000000001
human_gene2,32GB,2,121.5912
human_gene2,32GB,4,79.68772
human_gene2,32GB,8,79.691
human_gene2,32GB,16,84.34507
human_gene2,32GB,32,84.39744999999999
human_gene2,32GB,64,103.4769
human_gene2,64GB,1,214.6413
human_gene2,64GB,2,107.21620000000011
human_gene2,64GB,4,79.72705
human_gene2,64GB,8,121.4523
human_gene2,64GB,16,79.71383
human_gene2,64GB,32,79.7171
human_gene2,64GB,64,84.30417
sinc12,128GB,1,1.334174
sinc12,128GB,2,1.33472
sinc12,128GB,4,1.334623
sinc12,128GB,8,1.334953
sinc12,128GB,16,1.335099
sinc12,128GB,32,1.334583
sinc12,128GB,64,1.334382
sinc12,32GB,1,1.325318
sinc12,32GB,2,1.322722
sinc12,32GB,4,1.315599
sinc12,32GB,8,1.3279459999999998
sinc12,32GB,16,1.3236729999999999
sinc12,32GB,32,1.323552
sinc12,32GB,64,1.319515
sinc12,64GB,1,1.320044
sinc12,64GB,2,1.31934
sinc12,64GB,4,1.3068119999999999
sinc12,64GB,8,1.3190899999999999
sinc12,64GB,16,1.3178569999999998
sinc12,64GB,32,1.324109
sinc12,64GB,64,1.3256890000000001
