matrix,scheduling,memory,threads,p90_runtime_ms
c-46,dynamic,128GB,1,0.843725
c-46,dynamic,128GB,2,2.628988
c-46,dynamic,128GB,4,2.214199
c-46,dynamic,128GB,8,2.164944
c-46,dynamic,128GB,16,1.891083
c-46,dynamic,128GB,32,1.949802
c-46,dynamic,128GB,64,12.39521
c-46,dynamic,32GB,1,0.744371
c-46,dynamic,32GB,2,2.707362
c-46,dynamic,32GB,4,3.096298
c-46,dynamic,32GB,8,2.242643
c-46,dynamic,32GB,16,1.902717
c-46,dynamic,32GB,32,1.946729
c-46,dynamic,32GB,64,12.31922
c-46,dynamic,64GB,1,0.742818
c-46,dynamic,64GB,2,2.780075
c-46,dynamic,64GB,4,3.079985
c-46,dynamic,64GB,8,1.978277
c-46,dynamic,64GB,16,1.775722
c-46,dynamic,64GB,32,1.84349
c-46,dynamic,64GB,64,3.065969
c-46,guided,128GB,1,0.675668
c-46,guided,128GB,2,0.623644
c-46,guided,128GB,4,0.985518
c-46,guided,128GB,8,0.481114
c-46,guided,128GB,16,0.674366
c-46,guided,128GB,32,0.956161
c-46,guided,128GB,64,1.644695
c-46,guided,32GB,1,0.575175
c-46,guided,32GB,2,0.584723
c-46,guided,32GB,4,0.541848
c-46,guided,32GB,8,0.500123
c-46,guided,32GB,16,1.097065
c-46,guided,32GB,32,1.311498
c-46,guided,32GB,64,1.909338
c-46,guided,64GB,1,0.698278
c-46,guided,64GB,2,0.617291
c-46,guided,64GB,4,0.535701
c-46,guided,64GB,8,0.510329
c-46,guided,64GB,16,0.630022
c-46,guided,64GB,32,0.930992
c-46,guided,64GB,64,10.73544
c-46,static,128GB,1,0.679294
c-46,static,128GB,2,1.000847
c-46,static,128GB,4,0.661572
c-46,static,128GB,8,0.518032
c-46,static,128GB,16,0.595224
c-46,static,128GB,32,0.880878
c-46,static,128GB,64,10.76276
c-46,static,32GB,1,0.640632
c-46,static,32GB,2,0.994992
c-46,static,32GB,4,0.673466
c-46,static,32GB,8,0.502199
c-46,static,32GB,16,0.596891
c-46,static,32GB,32,0.836224
c-46,static,32GB,64,1.619547
c-46,static,64GB,1,0.620493
c-46,static,64GB,2,1.008397
c-46,static,64GB,4,0.665179
c-46,static,64GB,8,0.515076
c-46,static,64GB,16,0.555181
c-46,static,64GB,32,0.848386
c-46,static,64GB,64,1.541272
epb1,dynamic,128GB,1,0.66818
epb1,dynamic,128GB,2,2.476784
epb1,dynamic,128GB,4,2.138684
epb1,dynamic,128GB,8,2.226273
epb1,dynamic,128GB,16,1.986627
epb1,dynamic,128GB,32,2.026275
epb1,dynamic,128GB,64,11.72786
epb1,dynamic,32GB,1,0.585571
epb1,dynamic,32GB,2,2.649806
epb1,dynamic,32GB,4,3.087439
epb1,dynamic,32GB,8,2.231832
epb1,dynamic,32GB,16,1.987129
epb1,dynamic,32GB,32,2.129528
epb1,dynamic,32GB,64,11.62765
epb1,dynamic,64GB,1,0.621848
epb1,dynamic,64GB,2,2.742114
epb1,dynamic,64GB,4,3.035021
epb1,dynamic,64GB,8,2.223428
epb1,dynamic,64GB,16,1.862468
epb1,dynamic,64GB,32,1.941742
epb1,dynamic,64GB,64,2.557633
epb1,guided,128GB,1,0.510073
epb1,guided,128GB,2,0.570248
epb1,guided,128GB,4,0.529064
epb1,guided,128GB,8,0.411509
epb1,guided,128GB,16,0.470889
epb1,guided,128GB,32,0.836646
epb1,guided,128GB,64,1.578795
epb1,guided,32GB,1,0.428913
epb1,guided,32GB,2,0.536057
epb1,guided,32GB,4,0.498759
epb1,guided,32GB,8,0.399122
epb1,guided,32GB,16,0.47609
epb1,guided,32GB,32,0.772788
epb1,guided,32GB,64,1.674406
epb1,guided,64GB,1,0.5325
epb1,guided,64GB,2,0.58461
epb1,guided,64GB,4,0.494818
epb1,guided,64GB,8,0.404345
epb1,guided,64GB,16,0.479241
epb1,guided,64GB,32,0.82214
epb1,guided,64GB,64,10.63643
epb1,static,128GB,1,0.507575
epb1,static,128GB,2,0.926097
epb1,static,128GB,4,0.590872
epb1,static,128GB,8,0.472938
epb1,static,128GB,16,0.525588
epb1,static,128GB,32,0.808576
epb1,static,128GB,64,11.24492
epb1,static,32GB,1,0.476945
epb1,static,32GB,2,0.92735
epb1,static,32GB,4,0.895905
epb1,static,32GB,8,0.50408
epb1,static,32GB,16,0.535486
epb1,static,32GB,32,0.761499
epb1,static,32GB,64,1.46363
epb1,static,64GB,1,0.462307
epb1,static,64GB,2,0.964964
epb1,static,64GB,4,0.616729
epb1,static,64GB,8,0.534159
epb1,static,64GB,16,0.5178
epb1,static,64GB,32,0.769738
epb1,static,64GB,64,10.52744
